MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
368026000,2021-02-18T00:00:48,36.86576,-76.31604,0.0,234.5,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
366839000,2021-02-18T00:00:46,36.85343,-76.31080,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,,A
367359930,2021-02-18T00:00:00,36.82420,-76.28913,0.0,294.5,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
338678000,2021-02-18T00:00:02,36.91621,-76.16845,0.0,293.0,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
366841000,2021-02-18T00:00:51,36.85326,-76.31050,0.0,0.0,511.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,,A
356589000,2021-02-18T00:00:54,36.96291,-76.42417,0.0,128.1,37.0,DOUBLE FORTUNE,IMO9574119,3FHZ2,70,5,234,38,14.5,70,A
636017072,2021-02-18T00:01:13,37.23897,-76.11616,0.0,216.8,1.0,SZARE SZEREGI,IMO9708057,D5JD9,70,1,,,,,A
355185000,2021-02-18T00:01:05,36.87196,-76.34839,0.0,275.2,348.0,MSC GISELLE,IMO9720196,3FPX4,70,5,299,48,14.5,,A
565359000,2021-02-18T00:00:35,36.96728,-76.42997,0.0,204.1,40.0,ETERNAL BLISS,IMO9433626,9V8264,70,5,229,32,14.4,70,A
338846000,2021-02-18T00:00:48,36.86560,-76.31580,0.0,0.1,511.0,USNS MENDONCA,IMO9147320,NBMK,70,5,289,32,10.9,,A
255805683,2021-02-18T00:00:07,36.95984,-76.33620,11.0,3.0,3.0,E R CALAIS,IMO9301445,CQEG,70,0,210,30,11.5,79,A
538004670,2021-02-18T00:01:05,36.88002,-76.33117,0.0,221.7,94.0,GOLDEN GINGER,IMO9590761,V7YI9,70,5,229,32,14.5,,A
356643000,2021-02-18T00:02:04,36.93851,-76.37766,0.1,339.9,253.0,ARKI,IMO9561801,3ENP3,70,1,170,27,9.7,70,A
372697000,2021-02-18T00:01:45,36.97048,-76.44345,0.1,177.8,327.0,BALSA 85,IMO9580261,H9UN,70,1,106,19,6.8,70,A
367821000,2021-02-18T00:01:54,36.97283,-76.43367,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,5,276,32,13.0,70,A
319155200,2021-02-18T00:01:17,36.87958,-76.32645,0.0,218.0,275.0,CLARA,IMO9304083,ZGII,70,5,225,32,7.3,70,A
368445000,2021-02-18T00:01:59,36.96309,-76.42014,0.0,55.8,188.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
255805683,2021-02-18T00:01:17,36.96341,-76.33589,11.1,3.5,3.0,E R CALAIS,IMO9301445,CQEG,70,0,210,30,11.5,79,A
255805683,2021-02-18T00:02:19,36.96675,-76.33523,12.5,7.1,15.0,E R CALAIS,IMO9301445,CQEG,70,0,210,30,11.5,79,A
367359930,2021-02-18T00:01:10,36.82420,-76.28911,0.0,291.4,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
477920300,2021-02-18T00:01:43,36.87767,-76.34983,0.0,139.0,348.0,OOCL ATLANTA,IMO9285005,VRAR6,70,5,323,42,14.5,,A
367862000,2021-02-18T00:04:31,36.94808,-76.32975,0.0,35.7,281.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
538003810,2021-02-18T00:02:21,36.91270,-76.32785,0.0,98.4,352.0,MOL MATRIX,IMO9424924,V7TI3,70,5,302,43,14.2,,A
538005622,2021-02-18T00:02:40,37.25241,-76.10219,0.1,120.9,6.0,SASEBO GREEN,IMO9675468,V7FN3,70,1,225,32,14.4,,A
367822000,2021-02-18T00:02:10,36.97309,-76.43385,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
367359930,2021-02-18T00:02:28,36.82420,-76.28912,0.0,287.0,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
241313000,2021-02-18T00:02:29,36.91024,-76.32741,0.0,42.5,351.0,MAERSK EXETER,IMO9475698,SVBY3,70,5,366,48,15.5,,A
338678000,2021-02-18T00:03:02,36.91621,-76.16845,0.0,287.8,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
373765000,2021-02-18T00:03:03,37.26334,-76.10583,0.1,267.3,357.0,AM CONTRECOEUR,IMO9583184,3FBX4,70,1,229,32,14.4,,A
255805683,2021-02-18T00:03:26,36.97058,-76.33334,13.3,23.9,27.0,E R CALAIS,IMO9301445,CQEG,70,0,210,30,11.5,79,A
356589000,2021-02-18T00:03:52,36.96291,-76.42419,0.0,123.1,37.0,DOUBLE FORTUNE,IMO9574119,3FHZ2,70,5,234,38,14.5,70,A
