MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
636019094,2021-08-16T00:00:10,37.26503,-76.10128,0.1,150.0,241.0,BERGE RINJANI,IMO9579884,D5SX4,70,1,292,45,8.6,70,A
367359930,2021-08-16T00:00:06,36.82403,-76.28904,0.0,263.3,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
477016700,2021-08-16T00:00:31,36.96476,-76.35641,0.1,167.6,227.0,SFL DEE,IMO9455923,VRLM7,70,1,176,27,10.0,70,A
368445000,2021-08-16T00:00:34,36.96285,-76.41834,0.0,24.4,188.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
374308000,2021-08-16T00:00:46,37.17744,-76.12684,0.0,114.7,195.0,BLUE SAPPHIRE,IMO9877339,3EFG7,70,1,180,30,6.7,70,A
477767800,2021-08-16T00:00:29,36.87929,-76.33128,0.0,95.6,98.0,GOLDEN MAGNUM,IMO9494230,VRML3,70,5,292,45,18.2,70,A
338678000,2021-08-16T00:00:58,36.91626,-76.16844,0.0,253.4,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
257087080,2021-08-16T00:00:24,36.96988,-76.43028,0.1,42.8,230.0,ORION,IMO9495935,LAIS8,70,5,189,32,8.2,70,A
636019789,2021-08-16T00:00:44,37.20841,-76.09473,0.2,108.6,195.0,CL DENGSHA HE,IMO9890642,D5WE2,70,1,199,32,7.4,70,A
538009215,2021-08-16T00:00:42,37.19187,-76.12737,0.1,159.3,212.0,ASTERAS,IMO9610999,V7A4462,70,1,190,32,7.0,70,A
229532000,2021-08-16T00:01:29,36.96242,-76.42364,0.0,40.8,40.0,SIMON LD,IMO9617521,9HA3384,70,5,292,45,18.4,70,A
367822000,2021-08-16T00:00:17,36.97313,-76.43393,0.0,0.0,0.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
477598200,2021-08-16T00:00:20,36.96717,-76.42950,0.0,253.0,42.0,YANGTZE XING HUA,IMO9593751,VRKI5,70,5,229,32,14.5,70,A
338846000,2021-08-16T00:01:11,36.86560,-76.31575,0.0,0.1,228.0,USNS MENDONCA,IMO9147320,NBMK,70,5,289,32,10.9,35,A
369854000,2021-08-16T00:00:57,36.85714,-76.32779,0.0,148.0,81.0,LEWIS AND CLARK,IMO9271418,NLNC,70,5,210,32,9.3,90,A
366842000,2021-08-16T00:01:38,36.85398,-76.31144,0.0,108.4,41.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,79,A
219696000,2021-08-16T00:00:34,36.86398,-76.31515,0.0,141.8,227.0,THUNDER BIRD,IMO9318943,OWDG2,70,5,119,20,7.6,70,A
367359930,2021-08-16T00:01:16,36.82404,-76.28904,0.0,277.1,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
636018517,2021-08-16T00:02:14,37.24946,-76.10219,0.1,39.7,257.0,MEDI SERAPO,IMO9811531,D5QB2,70,1,229,36,8.9,70,A
366841000,2021-08-16T00:01:23,36.85326,-76.31054,0.0,0.0,40.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
636017670,2021-08-16T00:01:47,36.90463,-76.32634,0.0,168.7,353.0,AL SAFAT,IMO9349497,D5MD9,70,5,306,40,9.9,70,A
477591700,2021-08-16T00:01:52,36.87985,-76.33107,0.0,316.0,96.0,BBG GUIGANG,IMO9847413,VRSW9,70,5,229,32,14.5,70,A
366839000,2021-08-16T00:02:30,36.85350,-76.31084,0.0,0.0,39.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
367819000,2021-08-16T00:02:49,36.93063,-76.33221,0.0,0.0,85.0,SODERMAN,IMO9232254,NANL,70,5,289,32,11.2,79,A
