MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338846000,2021-05-20T00:00:04,36.86557,-76.31578,0.0,0.1,227.0,USNS MENDONCA,IMO9147320,NBMK,70,3,289,32,10.9,35,A
311003900,2021-05-20T00:00:00,37.17872,-76.15390,16.0,358.6,0.0,ADRIA ACE,IMO9446881,C6XA8,70,0,176,31,8.8,70,A
338403000,2021-05-20T00:00:03,36.87094,-76.34800,0.0,129.8,346.0,MAERSK HARTFORD,IMO9333008,WMHA,70,5,299,40,14.5,70,A
636019178,2021-05-20T00:00:02,37.19586,-76.15230,12.7,198.2,199.0,RADIANT RAY,IMO9749697,D5TH5,80,0,147,24,9.3,80,A
636015743,2021-05-20T00:00:09,36.87754,-76.34994,0.1,187.8,348.0,ARCHIMIDIS,IMO9315379,D5CN5,70,5,317,43,14.5,70,A
220414000,2021-05-20T00:00:14,36.91237,-76.32772,0.0,352.0,352.0,GJERTRUD MAERSK,IMO9320233,OYGH2,70,5,366,42,15.0,71,A
366539000,2021-05-20T00:00:04,36.96305,-76.41987,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
538009119,2021-05-20T00:00:02,37.00786,-76.25222,10.6,88.1,87.0,ARMONIA.GR,IMO9758868,V7A4344,70,0,199,32,13.2,70,A
477630100,2021-05-20T00:00:06,37.03692,-76.06591,13.2,321.6,322.0,EVER FORTUNE,IMO9850563,VRTO7,73,0,334,48,13.5,73,A
368445000,2021-05-20T00:00:41,36.96310,-76.42007,0.0,0.0,188.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
636019178,2021-05-20T00:01:03,37.19246,-76.15364,12.7,196.8,197.0,RADIANT RAY,IMO9749697,D5TH5,80,0,147,24,9.3,80,A
367633000,2021-05-20T00:00:13,36.96642,-76.42779,0.0,178.9,222.0,LONESTAR STATE,IMO9697985,WLSY,80,5,178,,,80,A
357997000,2021-05-20T00:00:44,36.96280,-76.42409,0.0,37.6,38.0,NORD TREASURE,IMO9566459,3ESI7,70,5,189,32,12.7,70,A
367222000,2021-05-20T00:00:51,36.94831,-76.33069,0.0,0.0,101.0,WALTER S DIEHL,IMO8511495,NWSD,80,5,206,29,,0,A
367822000,2021-05-20T00:00:54,36.97311,-76.43386,0.0,0.0,0.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
