MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
477665400,2022-02-16T00:00:04,37.07880,-76.10249,15.0,330.4,331.0,EVER FRANK,IMO9850587,VRTW3,74,0,334,48,12.1,74,A
338678000,2022-02-16T00:00:49,36.91624,-76.16842,0.0,247.6,9.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
538007063,2022-02-16T00:00:08,37.00490,-76.27190,13.9,75.5,78.0,SEAMAX NORWALK,IMO9290464,V7VT5,70,0,300,42,14.5,71,A
352676000,2022-02-16T00:00:01,37.04556,-76.07349,14.2,322.5,323.0,ARIES SAKURA,IMO9881146,3EYV5,70,0,183,31,6.0,70,A
257087080,2022-02-16T00:00:38,37.24838,-76.11698,0.0,232.5,133.0,ORION,IMO9495935,LAIS8,70,1,189,32,9.2,70,A
373075000,2022-02-16T00:00:07,36.95857,-76.35864,8.1,257.3,264.0,FRONTIER UNITY,IMO9604976,3FJX7,70,0,291,45,18.2,79,A
636018470,2022-02-16T00:00:05,37.19369,-76.15217,12.5,15.1,16.0,CHARADE,IMO9520651,D5PV2,70,0,190,32,12.4,70,A
367822000,2022-02-16T00:00:33,36.97312,-76.43387,0.0,0.0,1.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
636015975,2022-02-16T00:00:48,36.87079,-76.34813,0.0,191.7,347.0,AGIOS DIMITRIOS,IMO9349605,D5DU8,71,5,299,40,11.1,71,A
232025072,2022-02-16T00:00:42,37.19533,-76.11092,0.1,224.7,132.0,ANGLO CYNOSURE,IMO9599133,MGIL3,70,1,240,38,7.5,70,A
354706000,2022-02-16T00:00:20,37.16276,-76.13672,0.0,87.1,145.0,CORESHIP OL,IMO9473755,HORG,70,1,178,29,7.0,70,A
636017103,2022-02-16T00:00:51,36.87504,-76.34909,0.0,13.9,347.0,MAERSK SKARSTIND,IMO9740457,D5JH7,70,5,300,,,71,A
367359930,2022-02-16T00:00:10,36.82421,-76.28913,0.0,258.9,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
367932000,2022-02-16T00:01:05,36.95954,-76.32998,0.0,67.0,99.0,JOHN LENTHALL,IMO8325547,NJLN,80,5,193,29,,35,A
366839000,2022-02-16T00:01:10,36.85325,-76.31048,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
367359930,2022-02-16T00:01:19,36.82419,-76.28911,0.0,241.9,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
538009119,2022-02-16T00:00:18,37.17199,-76.12439,0.0,244.1,140.0,ARMONIA.GR,IMO9758868,V7A4344,70,1,199,32,6.7,70,A
352676000,2022-02-16T00:01:07,37.04903,-76.07679,14.3,322.5,323.0,ARIES SAKURA,IMO9881146,3EYV5,70,0,183,31,6.0,70,A
373075000,2022-02-16T00:01:16,36.95820,-76.36197,8.6,262.8,265.0,FRONTIER UNITY,IMO9604976,3FJX7,70,0,291,45,18.2,79,A
366841000,2022-02-16T00:01:29,36.85348,-76.31084,0.0,0.0,41.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
636018470,2022-02-16T00:01:17,37.19765,-76.15065,12.6,16.6,18.0,CHARADE,IMO9520651,D5PV2,70,0,190,32,12.4,70,A
212040000,2022-02-16T00:00:26,37.21256,-76.10132,0.0,326.1,111.0,UBC TILBURY,IMO9416721,5BXL2,70,1,182,28,10.8,77,A
352692000,2022-02-16T00:01:35,37.20271,-76.13575,0.1,328.8,132.0,MELODIA,IMO9607813,3EZI2,70,1,225,32,14.4,70,A
477665400,2022-02-16T00:01:10,37.08275,-76.10531,15.0,330.9,332.0,EVER FRANK,IMO9850587,VRTW3,74,0,334,48,12.1,74,A
538007650,2022-02-16T00:01:41,37.18476,-76.14348,0.0,353.7,133.0,AFRICAN QUEEN,IMO9389930,V7YZ4,70,1,190,32,6.4,70,A
636018028,2022-02-16T00:00:34,36.90482,-76.32653,0.1,147.0,353.0,ATHENIAN,IMO9408865,D5NV8,70,5,349,45,15.0,71,A
477214700,2022-02-16T00:01:35,36.90902,-76.32707,0.0,229.0,353.0,OOCL EUROPE,IMO9300805,VRBX7,70,5,322,42,14.5,70,A
314509000,2022-02-16T00:02:04,37.20800,-76.12368,0.1,322.3,122.0,OTHRYS,IMO9905277,8PAV5,70,1,200,32,6.8,70,A
538007063,2022-02-16T00:01:19,37.00602,-76.26639,13.9,77.2,81.0,SEAMAX NORWALK,IMO9290464,V7VT5,70,0,300,42,14.5,71,A
538002808,2022-02-16T00:01:49,36.86348,-76.31350,0.0,238.0,227.0,GENCO WARRIOR,IMO9316153,V7LU3,70,5,189,32,12.5,70,A
636016295,2022-02-16T00:01:52,37.18474,-76.11500,0.1,106.0,134.0,ANTONIA S,IMO9591088,D5FK7,70,1,229,32,14.4,70,A
538007024,2022-02-16T00:01:33,37.20875,-76.08870,0.0,335.9,113.0,RIKKE,IMO9784362,V7BB3,70,1,228,,,70,A
538008995,2022-02-16T00:00:51,36.87988,-76.33147,0.0,215.0,94.0,AM JYOTI,IMO9880233,V7A4174,70,5,229,32,8.3,70,A
367062040,2022-02-16T00:02:55,36.83691,-76.27936,0.0,292.4,511.0,SKIPPIN SUE,,WDC6842,74,5,36,9,3.0,74,A
368808000,2022-02-16T00:02:58,36.93234,-76.33177,0.0,359.9,85.0,WRIGHT,IMO6924571,WGLW,70,5,183,27,10.4,90,A
636018470,2022-02-16T00:02:26,37.20156,-76.14914,12.6,17.6,18.0,CHARADE,IMO9520651,D5PV2,70,0,190,32,12.4,70,A
355673000,2022-02-16T00:02:47,37.24031,-76.10477,0.2,35.6,112.0,NORD EVEREST,IMO9658965,H8WG,70,1,200,32,9.8,70,A
368707000,2022-02-16T00:00:57,36.93065,-76.33222,0.0,0.0,85.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
368026000,2022-02-16T00:01:25,36.86572,-76.31606,0.0,192.4,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
563862000,2022-02-16T00:02:48,37.26931,-76.10920,0.1,114.4,136.0,MANDARIN GRACE,IMO9569267,9V8352,70,1,189,32,12.8,70,A
636092950,2022-02-16T00:02:25,37.21923,-76.13041,0.1,339.9,118.0,RANGER,IMO9493999,D5WU6,70,1,229,32,7.0,70,A
367862000,2022-02-16T00:02:35,36.94563,-76.33290,0.0,97.8,87.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,35,A
352676000,2022-02-16T00:02:13,37.05251,-76.08013,14.4,322.7,323.0,ARIES SAKURA,IMO9881146,3EYV5,70,0,183,31,6.0,70,A
219033000,2022-02-16T00:01:26,36.87896,-76.35016,0.0,17.5,346.0,MAERSK EDINBURGH,IMO9456757,OXLT2,74,5,366,48,12.0,74,A
373075000,2022-02-16T00:02:26,36.95792,-76.36554,9.1,263.1,265.0,FRONTIER UNITY,IMO9604976,3FJX7,70,0,291,45,18.2,79,A
477665400,2022-02-16T00:02:16,37.08687,-76.10805,15.1,332.2,333.0,EVER FRANK,IMO9850587,VRTW3,74,0,334,48,12.1,74,A
352892000,2022-02-16T00:02:38,37.21785,-76.09185,0.0,209.0,114.0,NAVIOS ALEGRIA,IMO9284893,H9GP,70,1,225,32,14.0,70,A
367359930,2022-02-16T00:02:30,36.82420,-76.28912,0.0,235.1,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
538009119,2022-02-16T00:03:19,37.17202,-76.12429,0.0,244.1,142.0,ARMONIA.GR,IMO9758868,V7A4344,70,1,199,32,6.7,70,A
212040000,2022-02-16T00:03:34,37.21262,-76.10130,0.1,110.4,115.0,UBC TILBURY,IMO9416721,5BXL2,70,1,182,28,10.8,77,A
367359930,2022-02-16T00:03:39,36.82417,-76.28912,0.0,233.1,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
636018518,2022-02-16T00:02:14,36.87930,-76.33142,0.0,98.7,95.0,MEDI GINEVRA,IMO9815939,D5QB3,70,5,229,36,7.4,70,A
367866000,2022-02-16T00:02:31,36.96245,-76.41927,0.0,0.0,189.0,LEROY GRUMMAN,IMO8511500,NNLG,80,5,206,29,,0,A
538008995,2022-02-16T00:03:52,36.87989,-76.33149,0.0,215.0,94.0,AM JYOTI,IMO9880233,V7A4174,70,5,229,32,8.3,70,A
367822000,2022-02-16T00:03:33,36.97313,-76.43386,0.0,0.0,1.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
538003974,2022-02-16T00:02:19,37.18635,-76.13023,0.0,320.7,125.0,KINGFISHER,IMO9441348,V7UL8,70,1,189,32,12.9,70,A
538007063,2022-02-16T00:02:27,37.00686,-76.26102,13.8,80.3,87.0,SEAMAX NORWALK,IMO9290464,V7VT5,70,0,300,42,14.5,71,A
354706000,2022-02-16T00:03:21,37.16279,-76.13677,0.1,247.2,144.0,CORESHIP OL,IMO9473755,HORG,70,1,178,29,7.0,70,A
373075000,2022-02-16T00:03:37,36.95761,-76.36943,9.5,263.4,265.0,FRONTIER UNITY,IMO9604976,3FJX7,70,0,291,45,18.2,79,A
538007063,2022-02-16T00:03:28,37.00718,-76.25614,13.9,87.1,90.0,SEAMAX NORWALK,IMO9290464,V7VT5,70,0,300,42,14.5,71,A
352676000,2022-02-16T00:03:19,37.05618,-76.08354,14.4,323.3,323.0,ARIES SAKURA,IMO9881146,3EYV5,70,0,183,31,6.0,70,A
366839000,2022-02-16T00:04:15,36.85328,-76.31052,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
636018028,2022-02-16T00:03:31,36.90507,-76.32684,0.1,291.3,353.0,ATHENIAN,IMO9408865,D5NV8,70,5,349,45,15.0,71,A
338678000,2022-02-16T00:03:50,36.91618,-76.16845,0.0,228.2,9.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
