MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367821000,2020-08-15T00:00:03,36.97277,-76.43368,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,0,276,32,13.0,70,A
367078110,2020-08-15T00:00:03,36.83840,-76.27847,0.0,261.0,511.0,MARCELLE BORDELON,IMO9350379,WDJ2038,79,3,45,11,3.0,79,A
366839000,2020-08-15T00:00:31,36.85355,-76.31091,0.0,275.0,39.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,,A
366230000,2020-08-15T00:00:37,36.96252,-76.36041,0.0,131.9,38.0,SLNC MAGOTHY,IMO9418975,WDI3067,70,1,166,23,7.4,70,A
366842000,2020-08-15T00:00:25,36.85329,-76.31053,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,35,A
368026000,2020-08-15T00:00:21,36.86575,-76.31605,0.0,19.1,2.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
367821000,2020-08-15T00:01:13,36.97277,-76.43368,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,0,276,32,13.0,70,A
367822000,2020-08-15T00:01:17,36.97310,-76.43377,0.0,0.0,238.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
367078110,2020-08-15T00:01:22,36.83839,-76.27847,0.0,270.0,511.0,MARCELLE BORDELON,IMO9350379,WDJ2038,79,3,45,11,3.0,79,A
366203000,2020-08-15T00:00:49,36.86567,-76.31570,0.0,163.5,511.0,SGT MATEJ KOCAK,IMO7802706,NKCK,70,5,250,32,10.2,,A
353710000,2020-08-15T00:01:31,36.87953,-76.32635,0.0,149.0,276.0,IRIS II,IMO9286906,3EPS5,70,5,225,32,14.0,,A
477105600,2020-08-15T00:02:16,36.87397,-76.34883,0.0,283.0,347.0,OOCL ASIA,IMO9300790,VRBQ6,70,5,322,42,14.5,70,A
563090200,2020-08-15T00:02:44,36.91178,-76.32768,0.0,11.0,352.0,MAERSK YUKON,IMO9398436,9V6458,71,5,349,46,11.5,71,A
367078110,2020-08-15T00:02:33,36.83839,-76.27848,0.0,186.0,511.0,MARCELLE BORDELON,IMO9350379,WDJ2038,79,3,45,11,3.0,79,A
