MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366841000,2020-11-17T00:00:00,36.85331,-76.31053,0.0,247.5,511.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,,A
564724000,2020-11-17T00:00:43,36.96627,-76.35555,0.1,84.0,219.0,THOR INFINITY,IMO9238466,9V9071,70,1,190,32,12.0,70,A
477627300,2020-11-17T00:00:49,36.92426,-76.32961,0.0,96.4,354.0,MOL EMISSARY,IMO9407158,VRFX6,70,5,294,32,13.7,,A
367862000,2020-11-17T00:00:50,36.94820,-76.32991,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
366574000,2020-11-17T00:00:56,36.97361,-76.43609,0.1,344.0,243.0,CORNHUSKER STATE,IMO6916433,KAFQ,70,5,185,23,9.6,70,A
538004978,2020-11-17T00:01:11,37.19629,-76.11900,0.1,19.4,286.0,AM QUEBEC,IMO9624108,V7AE7,70,1,229,32,14.4,,A
366839000,2020-11-17T00:01:14,36.85351,-76.31082,0.0,136.2,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,,A
240569000,2020-11-17T00:01:22,36.87998,-76.33107,0.0,36.0,95.0,KYZIKOS,IMO9343845,SXUE,70,5,229,36,14.7,79,A
368026000,2020-11-17T00:01:52,36.86578,-76.31604,0.1,163.4,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
367821000,2020-11-17T00:01:59,36.97284,-76.43366,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,5,276,32,13.0,70,A
367932000,2020-11-17T00:02:04,36.95047,-76.32946,0.0,149.9,280.0,JOHN LENTHALL,IMO8325547,NJLN,80,5,193,29,,,A
255805942,2020-11-17T00:02:23,36.91169,-76.32758,0.0,352.8,352.0,HATSU CRYSTAL,IMO9293820,CQIF2,70,5,333,42,14.5,,A
372177000,2020-11-17T00:02:26,37.27777,-76.09982,0.1,309.0,349.0,TIGER LILY,IMO9744984,3EUW3,70,1,228,,,,A
366203000,2020-11-17T00:02:30,36.86684,-76.31697,0.0,62.1,511.0,SGT MATEJ KOCAK,IMO7802706,NKCK,70,5,250,32,10.2,,A
269056000,2020-11-17T00:02:35,36.96704,-76.42950,0.0,323.4,43.0,CURIA,IMO9710048,HBLM,70,5,189,32,12.8,,A
