MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366733250,2020-08-21T00:00:02,37.18179,-76.25629,3.5,310.1,511.0,ATLANTIC SURVEYOR,,WTR5417,70,15,31,7,,,A
367359930,2020-08-21T00:00:02,36.82404,-76.28906,0.0,219.6,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
338794000,2020-08-21T00:00:02,37.15334,-76.15111,16.1,351.5,355.0,ARC INDEPENDENCE,IMO9332925,WAIE,70,0,228,32,9.7,70,A
367861000,2020-08-21T00:00:01,36.94638,-76.32982,0.0,0.0,266.0,LARAMIE,IMO8906626,NLAR,80,5,193,29,,,A
367821000,2020-08-21T00:00:08,36.97284,-76.43364,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,0,276,32,13.0,70,A
369390000,2020-08-21T00:00:05,36.87100,-76.34817,0.0,302.0,347.0,SAFMARINE MAFADI,IMO9314210,KRIJ,70,5,292,32,11.3,70,A
266338000,2020-08-21T00:00:02,37.19250,-76.15250,16.5,15.8,16.0,FIGARO,IMO9505041,SMIO,70,0,231,32,11.3,,A
367932000,2020-08-21T00:00:08,36.94919,-76.32968,0.0,107.0,279.0,JOHN LENTHALL,IMO8325547,NJLN,80,5,193,29,,,A
368026000,2020-08-21T00:00:20,36.86574,-76.31603,0.0,270.5,2.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
366839000,2020-08-21T00:01:05,36.85352,-76.31080,0.0,0.0,39.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,,A
538002652,2020-08-21T00:00:51,36.87948,-76.32638,0.0,337.0,276.0,NAIAS,IMO9330800,V7KN8,70,5,225,32,14.0,70,A
338794000,2020-08-21T00:01:03,37.15777,-76.15173,15.9,354.6,358.0,ARC INDEPENDENCE,IMO9332925,WAIE,70,0,228,32,9.7,70,A
367821000,2020-08-21T00:01:18,36.97284,-76.43364,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,0,276,32,13.0,70,A
367359930,2020-08-21T00:01:12,36.82406,-76.28906,0.0,220.7,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
477196100,2020-08-21T00:00:58,37.19550,-76.13694,0.1,342.3,74.0,DARYA MA,IMO9591674,VRJH5,70,1,229,32,14.5,,A
367359930,2020-08-21T00:02:23,36.82404,-76.28905,0.0,227.8,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
215677000,2020-08-21T00:01:53,36.96294,-76.42420,0.0,147.3,39.0,RIZE,IMO9584035,9HA2781,70,5,229,32,14.5,,A
338794000,2020-08-21T00:02:08,37.16263,-76.15231,15.9,355.0,358.0,ARC INDEPENDENCE,IMO9332925,WAIE,70,0,228,32,9.7,70,A
266338000,2020-08-21T00:01:08,37.19750,-76.15067,16.5,16.7,18.0,FIGARO,IMO9505041,SMIO,70,0,231,32,11.3,,A
366733250,2020-08-21T00:02:22,37.18325,-76.25845,3.4,310.0,511.0,ATLANTIC SURVEYOR,,WTR5417,70,15,31,7,,,A
367821000,2020-08-21T00:02:28,36.97283,-76.43364,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,0,276,32,13.0,70,A
367822000,2020-08-21T00:02:55,36.97315,-76.43379,0.0,0.0,238.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
266338000,2020-08-21T00:02:09,37.20183,-76.14900,16.6,16.6,18.0,FIGARO,IMO9505041,SMIO,70,0,231,32,11.3,,A
367861000,2020-08-21T00:03:01,36.94638,-76.32988,0.0,0.0,266.0,LARAMIE,IMO8906626,NLAR,80,5,193,29,,,A
538006982,2020-08-21T00:02:16,36.96256,-76.42368,0.0,44.0,40.0,ANTE TOPIC,IMO9737072,V7TR4,70,5,,,,,A
338403000,2020-08-21T00:01:27,36.92479,-76.32976,0.0,121.6,355.0,MAERSK HARTFORD,IMO9333008,WMHA,70,5,299,40,14.5,,A
367821000,2020-08-21T00:03:37,36.97283,-76.43364,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,0,276,32,13.0,70,A
369390000,2020-08-21T00:03:05,36.87100,-76.34817,0.0,229.0,347.0,SAFMARINE MAFADI,IMO9314210,KRIJ,70,5,292,32,11.3,70,A
338794000,2020-08-21T00:03:20,37.16791,-76.15285,15.8,354.4,357.0,ARC INDEPENDENCE,IMO9332925,WAIE,70,0,228,32,9.7,70,A
338794000,2020-08-21T00:04:27,37.17267,-76.15367,15.7,351.4,354.0,ARC INDEPENDENCE,IMO9332925,WAIE,70,0,228,32,9.7,70,A
266338000,2020-08-21T00:03:20,37.20721,-76.14704,16.6,16.8,18.0,FIGARO,IMO9505041,SMIO,70,0,231,32,11.3,,A
477738200,2020-08-21T00:03:37,36.87728,-76.34974,0.0,19.1,347.0,COSCO PHILIPPINES,IMO9448762,VRGM7,70,5,334,42,14.5,72,A
367359930,2020-08-21T00:03:32,36.82405,-76.28906,0.0,234.4,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
