MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367359930,2021-11-21T00:00:02,36.82419,-76.28912,0.0,259.7,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
366539000,2021-11-21T00:00:02,36.96314,-76.42024,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
538007238,2021-11-21T00:00:05,37.25377,-76.11503,0.1,294.6,42.0,SAMJOHN LEGACY,IMO9434436,V7ZX7,70,1,292,45,11.1,70,A
240979000,2021-11-21T00:00:00,37.23975,-76.10620,0.0,255.0,29.0,ANANGEL HARMONY,IMO9434412,SVAX3,70,1,292,45,18.0,,A
538006378,2021-11-21T00:00:02,37.21021,-76.08962,0.1,289.3,14.0,ARGONAUT,IMO9717694,V7MK8,70,1,229,,,,A
219028014,2021-11-21T00:00:14,37.21793,-76.10981,0.1,299.4,33.0,NORD BALTIC,IMO9826433,OZSL2,70,1,200,32,8.6,70,A
367222000,2021-11-21T00:00:01,36.94921,-76.32964,0.0,131.1,280.0,WALTER S DIEHL,IMO8511495,NWSD,80,0,206,29,,0,A
255806077,2021-11-21T00:00:38,36.90490,-76.32647,0.1,172.0,352.0,NORTHERN MAGNITUDE,IMO9252553,CQIV3,79,5,301,40,11.3,79,A
636016450,2021-11-21T00:00:08,36.96295,-76.42417,0.0,213.0,39.0,NEW EXPLORER,IMO9481489,D5GF9,70,5,229,32,14.6,,A
366539000,2021-11-21T00:01:12,36.96314,-76.42023,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
368026000,2021-11-21T00:00:13,36.86576,-76.31606,0.0,337.9,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
367861000,2021-11-21T00:00:37,36.88526,-76.33891,0.0,212.3,191.0,LARAMIE,IMO8906626,NLAR,80,5,193,29,,35,A
548932000,2021-11-21T00:00:41,37.20527,-76.10806,0.2,301.5,40.0,WESTERN MONACO,IMO9717345,DUHW,70,1,229,,,70,A
354199000,2021-11-21T00:00:36,37.28044,-76.10512,0.0,344.8,48.0,NEW MIGHTY,IMO9581174,3FMN,70,1,292,45,18.2,70,A
366842000,2021-11-21T00:00:19,36.85399,-76.31142,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,79,A
311062800,2021-11-21T00:00:54,37.19652,-76.13114,0.1,297.8,39.0,NISSAKI,IMO9611515,C6ZQ3,70,1,229,32,14.5,,A
235073372,2021-11-21T00:00:36,36.96755,-76.42972,0.0,162.4,222.0,JULIE C,IMO9430143,2CJQ7,70,5,138,21,8.1,70,A
636092275,2021-11-21T00:01:06,37.07263,-76.09768,15.0,329.8,330.0,MSC CORUNA,IMO9480215,A8ZV7,79,0,270,40,13.3,72,A
374581000,2021-11-21T00:00:42,37.18858,-76.10422,0.1,297.8,43.0,CHICAGO HARMONY,IMO9755696,3FGE3,70,1,182,,,70,A
352979000,2021-11-21T00:00:04,37.25182,-76.09764,0.1,293.9,31.0,GLORY MOON,IMO7328786,HOBR,70,1,175,25,,,A
367222000,2021-11-21T00:01:11,36.94913,-76.32955,0.0,131.1,280.0,WALTER S DIEHL,IMO8511495,NWSD,80,0,206,29,,0,A
372100000,2021-11-21T00:01:42,37.23337,-76.11920,0.0,291.0,22.0,N AMALTHIA,IMO9364277,3EIC7,70,1,224,32,13.8,70,A
636015019,2021-11-21T00:00:35,36.91218,-76.32772,0.0,258.2,353.0,EXPRESS ROME,IMO9484936,A8YC2,70,5,349,45,15.5,71,A
256334000,2021-11-21T00:01:05,37.19776,-76.08715,0.0,233.1,31.0,APAGEON,IMO9278870,9HRM8,70,1,189,32,12.0,79,A
212438000,2021-11-21T00:00:37,36.87954,-76.32646,0.0,293.2,276.0,PEDHOULAS CHERRY,IMO9738040,5BFD4,70,5,229,,,70,A
368707000,2021-11-21T00:02:02,36.93062,-76.33224,0.0,0.0,86.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,,A
636092275,2021-11-21T00:02:12,37.07662,-76.10057,15.1,330.0,330.0,MSC CORUNA,IMO9480215,A8ZV7,79,0,270,40,13.3,72,A
636018742,2021-11-21T00:02:06,37.22420,-76.09347,0.0,166.0,21.0,AQUATIC,IMO9363089,D5RE4,70,1,229,32,9.3,70,A
367359930,2021-11-21T00:01:22,36.82417,-76.28912,0.0,261.6,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
366539000,2021-11-21T00:02:13,36.96314,-76.42022,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
370696000,2021-11-21T00:02:39,36.97427,-76.34290,0.0,307.4,66.0,TERN BULKER,IMO9676101,3FNS3,70,1,190,32,6.8,70,A
367222000,2021-11-21T00:02:21,36.94918,-76.32956,0.0,131.1,280.0,WALTER S DIEHL,IMO8511495,NWSD,80,0,206,29,,0,A
366839000,2021-11-21T00:02:28,36.85329,-76.31055,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
367775000,2021-11-21T00:02:07,36.87753,-76.34998,0.0,201.6,347.0,MAERSK OHIO,IMO9298698,KABP,70,5,292,32,13.5,79,A
538008998,2021-11-21T00:01:30,37.20948,-76.13001,0.1,299.4,43.0,GENERAL GUISAN,IMO9888027,V7A4178,70,1,197,32,6.8,70,A
371243000,2021-11-21T00:02:04,36.92528,-76.32964,0.0,296.8,356.0,MSC KOREA,IMO9123154,3EBW3,70,5,242,32,11.7,71,A
255806077,2021-11-21T00:03:38,36.90490,-76.32647,0.0,352.0,352.0,NORTHERN MAGNITUDE,IMO9252553,CQIV3,79,5,301,40,11.3,79,A
538007238,2021-11-21T00:03:03,37.25381,-76.11509,0.0,278.7,42.0,SAMJOHN LEGACY,IMO9434436,V7ZX7,70,1,292,45,11.1,70,A
257444000,2021-11-21T00:01:27,37.21605,-76.07377,0.0,231.5,13.0,STAVANGER PIONEER,IMO9835044,LAZV7,82,1,183,32,9.5,82,A
256362000,2021-11-21T00:02:01,37.17563,-76.13169,0.0,223.6,52.0,BELMEKEN,IMO9576014,9HA3894,70,1,176,26,9.9,70,A
366841000,2021-11-21T00:02:07,36.85345,-76.31083,0.0,0.0,41.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
368026000,2021-11-21T00:03:13,36.86577,-76.31609,0.0,337.9,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
211578000,2021-11-21T00:01:44,36.90955,-76.32724,0.0,328.3,351.0,ULSAN EXPRESS,IMO9613020,DDOQ2,70,5,366,48,15.5,70,A
538006378,2021-11-21T00:03:02,37.21021,-76.08968,0.1,286.9,16.0,ARGONAUT,IMO9717694,V7MK8,70,1,229,,,,A
367222000,2021-11-21T00:03:51,36.94916,-76.32956,0.0,131.1,280.0,WALTER S DIEHL,IMO8511495,NWSD,80,0,206,29,,0,A
538009228,2021-11-21T00:02:51,37.23635,-76.08978,0.0,162.0,25.0,NORDIC ODYSSEY,IMO9529451,V7A4480,79,1,225,32,9.4,79,A
219028014,2021-11-21T00:03:14,37.21797,-76.10980,0.1,305.1,34.0,NORD BALTIC,IMO9826433,OZSL2,70,1,200,32,8.6,70,A
366842000,2021-11-21T00:03:15,36.85395,-76.31145,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,79,A
212438000,2021-11-21T00:03:38,36.87956,-76.32643,0.0,293.2,276.0,PEDHOULAS CHERRY,IMO9738040,5BFD4,70,5,229,,,70,A
352979000,2021-11-21T00:03:04,37.25184,-76.09771,0.1,299.0,33.0,GLORY MOON,IMO7328786,HOBR,70,1,175,25,,70,A
