MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368707000,2022-02-21T00:00:39,36.85713,-76.32870,0.0,0.0,261.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
636016295,2022-02-21T00:00:12,36.87997,-76.33104,0.0,20.0,95.0,ANTONIA S,IMO9591088,D5FK7,70,5,229,32,14.4,70,A
367932000,2022-02-21T00:00:56,36.88515,-76.33901,0.0,231.0,191.0,JOHN LENTHALL,IMO8325547,NJLN,80,5,193,29,,35,A
241703000,2022-02-21T00:00:35,37.20647,-76.10900,0.1,218.6,139.0,DESERT VIRTUE,IMO9883132,SVDH4,70,1,199,32,7.5,70,A
257087080,2022-02-21T00:00:39,37.24971,-76.11625,0.0,185.0,138.0,ORION,IMO9495935,LAIS8,70,1,189,32,6.8,70,A
477454100,2022-02-21T00:00:28,36.87888,-76.35019,0.0,220.2,347.0,YM WELLHEAD,IMO9684665,VROH8,74,5,368,51,14.9,74,A
368808000,2022-02-21T00:00:29,36.93230,-76.33178,0.0,359.9,85.0,WRIGHT,IMO6924571,WGLW,70,5,183,27,10.4,90,A
367359930,2022-02-21T00:00:01,36.82420,-76.28907,0.0,256.1,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
352692000,2022-02-21T00:01:07,36.96732,-76.43011,0.0,73.8,42.0,MELODIA,IMO9607813,3EZI2,70,5,225,32,14.4,70,A
368026000,2022-02-21T00:01:26,36.86574,-76.31606,0.0,143.3,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
371225000,2022-02-21T00:00:10,37.28665,-76.10111,0.0,31.0,98.0,CAPE ACE,IMO9885051,3FQT3,70,1,250,43,7.8,70,A
232025072,2022-02-21T00:01:19,37.19609,-76.11020,0.0,4.4,135.0,ANGLO CYNOSURE,IMO9599133,MGIL3,70,1,240,38,7.6,70,A
538007650,2022-02-21T00:02:17,37.18575,-76.14303,0.3,255.4,163.0,AFRICAN QUEEN,IMO9389930,V7YZ4,70,1,190,32,6.4,70,A
356195000,2022-02-21T00:00:01,36.96552,-76.35822,0.1,255.0,187.0,BUNGA LILAC,IMO9542166,3FTM,89,1,147,25,6.6,89,A
367862000,2022-02-21T00:01:20,36.94581,-76.33291,0.0,97.8,87.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,35,A
355328000,2022-02-21T00:02:17,37.25535,-76.10545,0.1,344.2,511.0,CHASSELAS,IMO9840506,3EHP6,70,1,229,32,11.6,70,A
564220000,2022-02-21T00:00:35,37.19625,-76.12462,0.0,72.0,151.0,THOR MERCURY,IMO9300221,9V2557,70,1,189,32,12.5,70,A
338678000,2022-02-21T00:01:00,36.91622,-76.16843,0.0,255.2,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
352892000,2022-02-21T00:01:35,37.21935,-76.09027,0.1,27.0,130.0,NAVIOS ALEGRIA,IMO9284893,H9GP,70,1,225,32,14.0,70,A
367822000,2022-02-21T00:01:28,36.97309,-76.43386,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
212040000,2022-02-21T00:01:02,37.21350,-76.10072,0.2,230.5,146.0,UBC TILBURY,IMO9416721,5BXL2,70,1,182,28,10.8,77,A
538009119,2022-02-21T00:01:16,36.87951,-76.32643,0.0,145.7,274.0,ARMONIA.GR,IMO9758868,V7A4344,70,5,199,32,0.0,70,A
371392000,2022-02-21T00:02:17,36.96708,-76.42955,0.1,137.6,42.0,BELMOIRA,IMO9873278,3FVC3,70,5,200,32,10.2,70,A
367359930,2022-02-21T00:01:10,36.82420,-76.28908,0.0,253.1,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
367359930,2022-02-21T00:02:21,36.82420,-76.28910,0.0,255.0,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
477617600,2022-02-21T00:01:09,36.90470,-76.32633,0.0,209.0,353.0,OOCL WASHINGTON,IMO9417256,VRFU9,70,5,322,42,14.5,70,A
366839000,2022-02-21T00:01:48,36.85326,-76.31051,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
538003974,2022-02-21T00:02:51,37.18736,-76.12961,0.1,37.8,151.0,KINGFISHER,IMO9441348,V7UL8,70,1,189,32,12.9,70,A
229454000,2022-02-21T00:01:10,36.87550,-76.34929,0.0,77.8,348.0,CMA CGM HERMES,IMO9882499,9HA5498,71,5,366,51,13.3,71,A
355673000,2022-02-21T00:02:21,37.24020,-76.10384,0.1,43.0,133.0,NORD EVEREST,IMO9658965,H8WG,70,1,200,32,12.4,70,A
366841000,2022-02-21T00:02:42,36.85348,-76.31081,0.0,0.0,41.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
356195000,2022-02-21T00:03:01,36.96550,-76.35828,0.1,270.0,184.0,BUNGA LILAC,IMO9542166,3FTM,89,1,147,25,6.6,89,A
636092950,2022-02-21T00:02:56,37.21932,-76.12962,0.0,253.3,137.0,RANGER,IMO9493999,D5WU6,70,1,229,32,7.0,70,A
367866000,2022-02-21T00:02:31,36.96240,-76.41922,0.0,0.0,188.0,LEROY GRUMMAN,IMO8511500,NNLG,80,5,206,29,,0,A
477454100,2022-02-21T00:03:27,36.87893,-76.35014,0.0,221.7,347.0,YM WELLHEAD,IMO9684665,VROH8,74,5,368,51,14.9,74,A
477832600,2022-02-21T00:02:36,37.22943,-76.09939,0.1,33.2,110.0,TIGER SOUTH,IMO9619854,VRKE3,70,1,225,32,14.2,70,A
314509000,2022-02-21T00:02:33,37.20865,-76.12324,0.1,214.6,146.0,OTHRYS,IMO9905277,8PAV5,70,1,200,32,7.0,70,A
538007024,2022-02-21T00:02:05,37.20976,-76.08698,0.0,37.1,145.0,RIKKE,IMO9784362,V7BB3,70,1,228,,,70,A
218826000,2022-02-21T00:02:43,36.92336,-76.32940,0.0,170.1,355.0,HANSA SALZBURG,IMO9516753,DIRU2,70,5,175,27,10.9,70,A
564220000,2022-02-21T00:03:37,37.19622,-76.12460,0.0,72.0,151.0,THOR MERCURY,IMO9300221,9V2557,70,1,189,32,12.5,70,A
305865000,2022-02-21T00:02:51,36.86502,-76.31372,0.0,88.1,227.0,BBC VESUVIUS,IMO9508471,V2GB4,70,5,125,22,7.6,79,A
367062040,2022-02-21T00:02:55,36.83683,-76.27933,0.0,232.9,511.0,SKIPPIN SUE,,WDC6842,74,5,36,9,3.0,74,A
352692000,2022-02-21T00:04:14,36.96733,-76.43011,0.0,73.8,42.0,MELODIA,IMO9607813,3EZI2,70,5,225,32,14.4,70,A
368026000,2022-02-21T00:04:27,36.86576,-76.31603,0.0,143.3,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
636016295,2022-02-21T00:03:10,36.87997,-76.33106,0.0,353.0,95.0,ANTONIA S,IMO9591088,D5FK7,70,5,229,32,14.4,70,A
368808000,2022-02-21T00:03:25,36.93230,-76.33181,0.0,359.9,85.0,WRIGHT,IMO6924571,WGLW,70,5,183,27,10.4,90,A
241703000,2022-02-21T00:03:32,37.20648,-76.10896,0.0,218.6,139.0,DESERT VIRTUE,IMO9883132,SVDH4,70,1,199,32,7.5,70,A
477617600,2022-02-21T00:04:10,36.90473,-76.32630,0.0,209.0,353.0,OOCL WASHINGTON,IMO9417256,VRFU9,70,5,322,42,14.5,70,A
366839000,2022-02-21T00:04:44,36.85327,-76.31053,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
368707000,2022-02-21T00:03:39,36.85710,-76.32866,0.0,0.0,261.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
367862000,2022-02-21T00:04:21,36.94575,-76.33288,0.0,97.8,87.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,35,A
338678000,2022-02-21T00:04:00,36.91620,-76.16841,0.0,255.7,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
212040000,2022-02-21T00:04:01,37.21338,-76.10087,0.2,225.1,140.0,UBC TILBURY,IMO9416721,5BXL2,70,1,182,28,10.8,77,A
538009119,2022-02-21T00:04:20,36.87948,-76.32639,0.0,145.7,274.0,ARMONIA.GR,IMO9758868,V7A4344,70,5,199,32,0.0,70,A
367359930,2022-02-21T00:03:31,36.82420,-76.28910,0.0,258.1,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
367932000,2022-02-21T00:03:55,36.88509,-76.33895,0.0,231.0,191.0,JOHN LENTHALL,IMO8325547,NJLN,80,5,193,29,,35,A
371225000,2022-02-21T00:03:10,37.28677,-76.10103,0.0,19.7,103.0,CAPE ACE,IMO9885051,3FQT3,70,1,250,43,11.4,70,A
538007024,2022-02-21T00:05:06,37.20970,-76.08694,0.0,37.1,143.0,RIKKE,IMO9784362,V7BB3,70,1,228,,,70,A
352892000,2022-02-21T00:04:32,37.21943,-76.09018,0.1,36.0,134.0,NAVIOS ALEGRIA,IMO9284893,H9GP,70,1,225,32,14.0,70,A
355328000,2022-02-21T00:05:17,37.25547,-76.10550,0.2,349.1,511.0,CHASSELAS,IMO9840506,3EHP6,70,1,229,32,11.6,70,A
355673000,2022-02-21T00:05:21,37.24027,-76.10376,0.1,28.4,137.0,NORD EVEREST,IMO9658965,H8WG,70,1,200,32,9.8,70,A
229454000,2022-02-21T00:04:09,36.87550,-76.34929,0.0,77.9,348.0,CMA CGM HERMES,IMO9882499,9HA5498,71,5,366,51,13.3,71,A
636016295,2022-02-21T00:06:12,36.87997,-76.33106,0.1,166.0,95.0,ANTONIA S,IMO9591088,D5FK7,70,5,229,32,14.4,70,A
367866000,2022-02-21T00:05:31,36.96243,-76.41918,0.0,0.0,188.0,LEROY GRUMMAN,IMO8511500,NNLG,80,5,206,29,,0,A
367359930,2022-02-21T00:06:11,36.82420,-76.28910,0.0,258.6,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
232025072,2022-02-21T00:04:18,37.19618,-76.11012,0.1,4.4,140.0,ANGLO CYNOSURE,IMO9599133,MGIL3,70,1,240,38,7.6,70,A
538007650,2022-02-21T00:05:12,37.18570,-76.14329,0.2,257.1,147.0,AFRICAN QUEEN,IMO9389930,V7YZ4,70,1,190,32,6.4,70,A
538006823,2022-02-21T00:03:46,36.97031,-76.43315,0.0,65.6,49.0,TS ECHO,IMO9719367,V7RS5,70,5,182,,,70,A
367822000,2022-02-21T00:04:28,36.97308,-76.43388,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
371392000,2022-02-21T00:05:17,36.96702,-76.42951,0.0,127.2,42.0,BELMOIRA,IMO9873278,3FVC3,70,5,200,32,10.2,70,A
477454100,2022-02-21T00:06:28,36.87890,-76.35014,0.0,202.3,347.0,YM WELLHEAD,IMO9684665,VROH8,74,5,368,51,14.9,74,A
367359930,2022-02-21T00:04:40,36.82419,-76.28909,0.0,260.7,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
241703000,2022-02-21T00:06:37,37.20647,-76.10899,0.1,218.6,140.0,DESERT VIRTUE,IMO9883132,SVDH4,70,1,199,32,7.5,70,A
212040000,2022-02-21T00:07:01,37.21326,-76.10091,0.1,186.4,130.0,UBC TILBURY,IMO9416721,5BXL2,70,1,182,28,10.8,77,A
368026000,2022-02-21T00:07:27,36.86573,-76.31605,0.0,143.3,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
538006823,2022-02-21T00:06:51,36.97034,-76.43313,0.0,65.6,49.0,TS ECHO,IMO9719367,V7RS5,70,5,182,,,70,A
371225000,2022-02-21T00:06:10,37.28693,-76.10099,0.0,9.4,106.0,CAPE ACE,IMO9885051,3FQT3,70,1,250,43,11.4,70,A
368707000,2022-02-21T00:06:38,36.85710,-76.32864,0.0,0.0,261.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
