MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
215181000,2021-08-20T00:00:08,36.87547,-76.34936,0.0,161.9,347.0,CMA CGM J. ADAMS,IMO9780885,9HA4999,71,5,366,48,12.6,71,A
636019094,2021-08-20T00:00:02,36.87990,-76.33115,0.0,150.0,92.0,BERGE RINJANI,IMO9579884,D5SX4,70,5,292,45,8.6,70,A
356340000,2021-08-20T00:00:09,37.21452,-76.12853,0.1,353.0,169.0,CAPRICORN MOON,IMO9708980,3EBV,70,1,228,32,14.4,70,A
353117000,2021-08-20T00:00:05,36.93733,-76.33800,9.9,3.0,5.0,TRANSCARIB,IMO8206624,3FUN2,80,0,83,14,6.3,70,A
229711000,2021-08-20T00:00:05,37.25623,-76.12795,17.7,16.8,17.0,THERMOPYLAE,IMO9702443,9HA3539,70,0,199,36,10.6,70,A
367822000,2021-08-20T00:00:16,36.97309,-76.43386,0.0,0.0,0.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
338678000,2021-08-20T00:00:44,36.91619,-76.16843,0.0,273.1,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
636015743,2021-08-20T00:00:08,36.87777,-76.35001,0.0,219.1,348.0,ARCHIMIDIS,IMO9315379,D5CN5,70,5,317,43,14.5,70,A
370068000,2021-08-20T00:00:04,36.96280,-76.42410,0.0,40.8,37.0,CHALLENGE PEARL,IMO9367695,3ERJ6,80,5,182,32,12.6,70,A
218844000,2021-08-20T00:00:13,36.91212,-76.32768,0.0,156.0,352.0,CMA CGM IVANHOE,IMO9365805,DFPJ2,70,5,350,42,15.0,70,A
477767800,2021-08-20T00:00:37,36.87928,-76.33136,0.0,75.6,97.0,GOLDEN MAGNUM,IMO9494230,VRML3,70,5,292,45,18.2,70,A
366230000,2021-08-20T00:00:57,36.94994,-76.33050,0.0,322.8,278.0,SLNC MAGOTHY,IMO9418975,WDI3067,70,5,166,23,7.9,70,A
368445000,2021-08-20T00:00:43,36.96283,-76.41829,0.0,24.4,511.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
367819000,2021-08-20T00:01:00,36.93061,-76.33222,0.0,0.0,85.0,SODERMAN,IMO9232254,NANL,70,5,289,32,11.2,79,A
374308000,2021-08-20T00:01:11,37.17784,-76.12833,0.0,9.7,171.0,BLUE SAPPHIRE,IMO9877339,3EFG7,70,1,180,30,6.7,70,A
636019789,2021-08-20T00:01:05,37.20941,-76.09596,0.1,2.1,169.0,CL DENGSHA HE,IMO9890642,D5WE2,70,1,199,32,7.4,70,A
636019410,2021-08-20T00:01:08,37.22269,-76.08993,0.0,239.3,172.0,GREEN K-MAX 1,IMO9838058,D5UJ9,70,1,229,32,7.5,70,A
353117000,2021-08-20T00:01:15,36.94067,-76.33767,10.1,4.0,5.0,TRANSCARIB,IMO8206624,3FUN2,80,0,83,14,6.3,70,A
538009215,2021-08-20T00:00:53,37.23360,-76.09583,0.1,314.6,172.0,ASTERAS,IMO9610999,V7A4462,70,1,190,32,10.0,70,A
228340900,2021-08-20T00:00:52,36.90865,-76.32720,0.0,299.1,352.0,CMA CGM LA TRAVIATA,IMO9299795,FMFT,70,5,334,42,14.5,70,A
229532000,2021-08-20T00:01:44,36.96679,-76.42961,0.0,44.3,44.0,SIMON LD,IMO9617521,9HA3384,70,5,292,45,18.4,70,A
229711000,2021-08-20T00:01:10,37.26132,-76.12594,17.7,18.5,18.0,THERMOPYLAE,IMO9702443,9HA3539,70,0,199,36,10.6,70,A
366841000,2021-08-20T00:01:47,36.85327,-76.31050,0.0,0.0,40.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
354805000,2021-08-20T00:01:40,37.19470,-76.12372,0.0,124.0,181.0,MIGHTY MICHALIS,IMO9086710,3FWG4,70,1,223,32,13.4,70,A
366842000,2021-08-20T00:02:03,36.85401,-76.31147,0.0,108.4,41.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,79,A
367866000,2021-08-20T00:02:21,36.95489,-76.33119,0.0,36.7,279.0,LEROY GRUMMAN,IMO8511500,NNLG,80,5,206,29,,0,A
370356000,2021-08-20T00:02:09,36.94878,-76.36288,0.1,257.0,17.0,CIELO DI PISA,IMO9363297,3ESM4,70,1,177,28,10.0,70,A
368026000,2021-08-20T00:02:43,36.86572,-76.31608,0.0,323.2,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
367222000,2021-08-20T00:02:32,36.94836,-76.33074,0.0,71.0,101.0,WALTER S DIEHL,IMO8511495,NWSD,80,5,206,29,,0,A
353117000,2021-08-20T00:02:26,36.94399,-76.33732,10.3,4.0,5.0,TRANSCARIB,IMO8206624,3FUN2,80,0,83,14,6.3,70,A
366839000,2021-08-20T00:02:52,36.85346,-76.31083,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
636018517,2021-08-20T00:02:39,37.25165,-76.10587,0.1,313.9,174.0,MEDI SERAPO,IMO9811531,D5QB2,70,1,229,36,8.9,70,A
218844000,2021-08-20T00:03:14,36.91227,-76.32767,0.0,156.0,352.0,CMA CGM IVANHOE,IMO9365805,DFPJ2,70,5,350,42,15.0,70,A
636015743,2021-08-20T00:03:08,36.87764,-76.35012,0.0,219.1,348.0,ARCHIMIDIS,IMO9315379,D5CN5,70,5,317,43,14.5,70,A
215181000,2021-08-20T00:03:08,36.87547,-76.34936,0.0,209.4,347.0,CMA CGM J. ADAMS,IMO9780885,9HA4999,71,5,366,48,12.6,71,A
538009215,2021-08-20T00:03:51,37.23356,-76.09587,0.1,181.5,169.0,ASTERAS,IMO9610999,V7A4462,70,1,190,32,10.0,70,A
305737000,2021-08-20T00:02:34,36.91602,-76.32997,0.0,245.8,262.0,SUN DISCOVERER,IMO9620669,V2FO2,70,5,138,21,8.0,70,A
636017393,2021-08-20T00:03:02,36.85803,-76.31795,0.0,221.9,272.0,INDUSTRIAL SWIFT,IMO9741152,D5KR7,70,5,,,,70,A
636019094,2021-08-20T00:03:03,36.87992,-76.33113,0.0,150.0,92.0,BERGE RINJANI,IMO9579884,D5SX4,70,5,292,45,8.6,70,A
229711000,2021-08-20T00:03:17,37.27117,-76.12197,17.7,17.7,18.0,THERMOPYLAE,IMO9702443,9HA3539,70,0,199,36,10.6,70,A
477767800,2021-08-20T00:03:37,36.87930,-76.33135,0.0,75.6,97.0,GOLDEN MAGNUM,IMO9494230,VRML3,70,5,292,45,18.2,70,A
636019789,2021-08-20T00:04:06,37.20941,-76.09590,0.1,2.1,170.0,CL DENGSHA HE,IMO9890642,D5WE2,70,1,199,32,7.4,70,A
259767000,2021-08-20T00:03:37,37.27217,-76.10450,0.0,43.0,178.0,BANGOR,IMO9228057,LASY7,70,1,225,32,13.9,79,A
228340900,2021-08-20T00:03:53,36.90865,-76.32720,0.0,9.8,353.0,CMA CGM LA TRAVIATA,IMO9299795,FMFT,70,5,334,42,14.5,70,A
368445000,2021-08-20T00:03:43,36.96285,-76.41831,0.0,24.4,511.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
354805000,2021-08-20T00:04:40,37.19472,-76.12383,0.1,266.6,178.0,MIGHTY MICHALIS,IMO9086710,3FWG4,70,1,223,32,13.4,70,A
367866000,2021-08-20T00:05:21,36.95490,-76.33119,0.0,36.7,279.0,LEROY GRUMMAN,IMO8511500,NNLG,80,5,206,29,,0,A
636019410,2021-08-20T00:04:08,37.22271,-76.08996,0.0,37.6,170.0,GREEN K-MAX 1,IMO9838058,D5UJ9,70,1,229,32,7.5,70,A
353117000,2021-08-20T00:04:45,36.95067,-76.33660,10.3,5.0,4.0,TRANSCARIB,IMO8206624,3FUN2,80,0,83,14,6.3,70,A
353117000,2021-08-20T00:03:37,36.94733,-76.33700,10.3,5.0,4.0,TRANSCARIB,IMO8206624,3FUN2,80,0,83,14,6.3,70,A
229711000,2021-08-20T00:05:23,37.28110,-76.11797,17.8,17.9,18.0,THERMOPYLAE,IMO9702443,9HA3539,70,0,199,36,10.6,70,A
229711000,2021-08-20T00:02:11,37.26601,-76.12406,17.7,18.0,18.0,THERMOPYLAE,IMO9702443,9HA3539,70,0,199,36,10.6,70,A
370356000,2021-08-20T00:05:09,36.94893,-76.36290,0.2,339.1,17.0,CIELO DI PISA,IMO9363297,3ESM4,70,1,177,28,10.0,70,A
374308000,2021-08-20T00:04:08,37.17782,-76.12830,0.0,9.7,173.0,BLUE SAPPHIRE,IMO9877339,3EFG7,70,1,180,30,6.7,70,A
367822000,2021-08-20T00:03:18,36.97309,-76.43386,0.0,0.0,0.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
367819000,2021-08-20T00:04:01,36.93061,-76.33222,0.0,0.0,85.0,SODERMAN,IMO9232254,NANL,70,5,289,32,11.2,79,A
370068000,2021-08-20T00:03:01,36.96280,-76.42413,0.0,40.8,37.0,CHALLENGE PEARL,IMO9367695,3ERJ6,80,5,182,32,12.6,70,A
