MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
303210000,2021-02-19T00:00:06,37.24049,-76.13391,16.3,16.3,14.0,PATRIOT,IMO9316139,WAIU,70,0,199,32,11.3,,A
373765000,2021-02-19T00:00:05,37.26329,-76.10586,0.0,226.9,350.0,AM CONTRECOEUR,IMO9583184,3FBX4,70,1,229,32,14.4,,A
338678000,2021-02-19T00:00:04,36.91623,-76.16844,0.0,294.4,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
366842000,2021-02-19T00:00:02,36.85383,-76.31118,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,,A
355185000,2021-02-19T00:00:05,37.00614,-76.26804,15.2,78.1,78.0,MSC GISELLE,IMO9720196,3FPX4,70,0,299,48,14.5,,A
565359000,2021-02-19T00:00:08,36.96633,-76.43134,0.9,238.2,43.0,ETERNAL BLISS,IMO9433626,9V8264,70,0,229,32,14.4,70,A
538005972,2021-02-19T00:00:06,36.99735,-76.45940,11.2,126.0,127.0,AUCKLAND SPIRIT,IMO9268083,V7IP8,70,0,171,27,10.4,,A
367359930,2021-02-19T00:00:14,36.82419,-76.28913,0.0,288.4,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
220413000,2021-02-19T00:00:28,36.91246,-76.32773,0.0,311.2,353.0,GUNVOR MAERSK,IMO9302891,OYGC2,70,5,367,42,15.0,,A
636017072,2021-02-19T00:01:23,37.23896,-76.11535,0.0,255.7,346.0,SZARE SZEREGI,IMO9708057,D5JD9,70,1,,,,,A
538005972,2021-02-19T00:01:07,36.99523,-76.45648,11.3,134.0,143.0,AUCKLAND SPIRIT,IMO9268083,V7IP8,70,0,171,27,10.4,,A
356589000,2021-02-19T00:01:13,37.23808,-76.09429,0.1,196.7,342.0,DOUBLE FORTUNE,IMO9574119,3FHZ2,70,1,234,38,14.5,70,A
367359930,2021-02-19T00:01:24,36.82421,-76.28915,0.0,286.6,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
367821000,2021-02-19T00:01:53,36.97284,-76.43368,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,5,276,32,13.0,70,A
367862000,2021-02-19T00:01:32,36.94814,-76.32982,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
565359000,2021-02-19T00:01:17,36.96614,-76.43169,1.1,233.3,42.0,ETERNAL BLISS,IMO9433626,9V8264,70,0,229,32,14.4,70,A
319155200,2021-02-19T00:01:55,36.87958,-76.32643,0.0,300.5,275.0,CLARA,IMO9304083,ZGII,70,5,225,32,7.3,70,A
372697000,2021-02-19T00:01:46,36.97020,-76.44370,0.0,149.9,334.0,BALSA 85,IMO9580261,H9UN,70,1,106,19,6.8,70,A
303210000,2021-02-19T00:01:11,37.24519,-76.13213,16.3,16.8,14.0,PATRIOT,IMO9316139,WAIU,70,0,199,32,11.3,,A
538005972,2021-02-19T00:02:15,36.99213,-76.45402,11.4,149.0,150.0,AUCKLAND SPIRIT,IMO9268083,V7IP8,70,0,171,27,10.4,,A
373119000,2021-02-19T00:01:50,36.90908,-76.32715,0.0,123.0,352.0,HELSINKI BRIDGE,IMO9588081,3FIW4,70,5,334,45,14.0,73,A
355185000,2021-02-19T00:01:11,37.00703,-76.26229,15.3,80.4,81.0,MSC GISELLE,IMO9720196,3FPX4,70,0,299,48,14.5,,A
355185000,2021-02-19T00:02:12,37.00757,-76.25702,15.1,83.9,84.0,MSC GISELLE,IMO9720196,3FPX4,70,0,299,48,14.5,,A
367136680,2021-02-19T00:02:37,36.92405,-76.32956,0.0,92.5,357.0,ST LOUIS EXPRESS,IMO9243186,WDD3825,70,5,243,32,11.0,79,A
356643000,2021-02-19T00:02:05,36.93709,-76.37836,0.1,121.5,286.0,ARKI,IMO9561801,3ENP3,70,1,170,27,9.7,70,A
367359930,2021-02-19T00:02:34,36.82421,-76.28915,0.0,286.8,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
368026000,2021-02-19T00:02:43,36.86574,-76.31601,0.0,234.1,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
366842000,2021-02-19T00:02:56,36.85383,-76.31121,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,,A
368445000,2021-02-19T00:02:01,36.96309,-76.42011,0.0,55.8,188.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
366841000,2021-02-19T00:02:53,36.85332,-76.31055,0.0,0.0,511.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,,A
338678000,2021-02-19T00:03:04,36.91622,-76.16846,0.0,288.2,9.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
373765000,2021-02-19T00:03:05,37.26325,-76.10586,0.1,226.9,348.0,AM CONTRECOEUR,IMO9583184,3FBX4,70,1,229,32,14.4,,A
220413000,2021-02-19T00:03:29,36.91241,-76.32769,0.0,114.4,353.0,GUNVOR MAERSK,IMO9302891,OYGC2,70,5,367,42,15.0,,A
565359000,2021-02-19T00:02:28,36.96591,-76.43202,1.2,227.5,43.0,ETERNAL BLISS,IMO9433626,9V8264,70,0,229,32,14.4,70,A
538005622,2021-02-19T00:02:40,37.25252,-76.10076,0.1,342.7,339.0,SASEBO GREEN,IMO9675468,V7FN3,70,1,225,32,14.4,,A
367359930,2021-02-19T00:03:45,36.82419,-76.28912,0.0,291.4,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
355185000,2021-02-19T00:03:17,37.00796,-76.25136,15.0,85.1,85.0,MSC GISELLE,IMO9720196,3FPX4,70,0,299,48,14.5,,A
565359000,2021-02-19T00:03:38,36.96560,-76.43240,1.2,222.8,44.0,ETERNAL BLISS,IMO9433626,9V8264,70,0,229,32,14.4,70,A
338846000,2021-02-19T00:04:17,36.86560,-76.31582,0.0,0.1,511.0,USNS MENDONCA,IMO9147320,NBMK,70,5,289,32,10.9,,A
538005972,2021-02-19T00:04:37,36.98542,-76.44933,11.9,150.0,149.0,AUCKLAND SPIRIT,IMO9268083,V7IP8,70,0,171,27,10.4,,A
356589000,2021-02-19T00:04:13,37.23804,-76.09431,0.1,148.5,341.0,DOUBLE FORTUNE,IMO9574119,3FHZ2,70,1,234,38,14.5,70,A
303210000,2021-02-19T00:03:24,37.25478,-76.12843,16.2,17.5,15.0,PATRIOT,IMO9316139,WAIU,70,0,199,32,11.3,,A
367821000,2021-02-19T00:04:53,36.97284,-76.43368,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,5,276,32,13.0,70,A
367359930,2021-02-19T00:04:55,36.82420,-76.28913,0.0,290.7,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
565359000,2021-02-19T00:04:46,36.96533,-76.43270,1.0,224.6,50.0,ETERNAL BLISS,IMO9433626,9V8264,70,0,229,32,14.4,70,A
355185000,2021-02-19T00:05:29,37.00718,-76.23993,14.8,106.4,108.0,MSC GISELLE,IMO9720196,3FPX4,70,0,299,48,14.5,,A
372697000,2021-02-19T00:04:46,36.97019,-76.44373,0.1,297.6,332.0,BALSA 85,IMO9580261,H9UN,70,1,106,19,6.8,70,A
373119000,2021-02-19T00:04:50,36.90902,-76.32707,0.0,328.0,352.0,HELSINKI BRIDGE,IMO9588081,3FIW4,70,5,334,45,14.0,73,A
355185000,2021-02-19T00:04:23,37.00808,-76.24563,15.0,93.4,95.0,MSC GISELLE,IMO9720196,3FPX4,70,0,299,48,14.5,,A
368026000,2021-02-19T00:05:45,36.86577,-76.31605,0.0,234.1,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
373765000,2021-02-19T00:06:05,37.26329,-76.10594,0.1,226.9,349.0,AM CONTRECOEUR,IMO9583184,3FBX4,70,1,229,32,14.4,,A
367862000,2021-02-19T00:04:31,36.94812,-76.32969,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
565359000,2021-02-19T00:05:47,36.96518,-76.43292,0.6,236.0,59.0,ETERNAL BLISS,IMO9433626,9V8264,70,0,229,32,14.4,70,A
303210000,2021-02-19T00:04:29,37.25953,-76.12656,16.3,17.8,15.0,PATRIOT,IMO9316139,WAIU,70,0,199,32,11.3,,A
368445000,2021-02-19T00:05:01,36.96314,-76.42010,0.0,55.8,188.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
303210000,2021-02-19T00:05:35,37.26425,-76.12470,16.1,18.0,15.0,PATRIOT,IMO9316139,WAIU,70,0,199,32,11.3,,A
355185000,2021-02-19T00:06:30,37.00595,-76.23502,14.7,107.9,108.0,MSC GISELLE,IMO9720196,3FPX4,70,0,299,48,14.5,,A
538005972,2021-02-19T00:05:47,36.98205,-76.44693,12.1,150.0,152.0,AUCKLAND SPIRIT,IMO9268083,V7IP8,70,0,171,27,10.4,,A
366842000,2021-02-19T00:06:04,36.85384,-76.31120,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,,A
367359930,2021-02-19T00:06:04,36.82420,-76.28914,0.0,288.9,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
565359000,2021-02-19T00:06:50,36.96525,-76.43301,0.4,342.0,80.0,ETERNAL BLISS,IMO9433626,9V8264,70,0,229,32,14.4,70,A
338678000,2021-02-19T00:06:04,36.91624,-76.16843,0.0,290.2,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
366841000,2021-02-19T00:05:55,36.85327,-76.31056,0.0,0.0,511.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,,A
367359930,2021-02-19T00:07:14,36.82418,-76.28913,0.0,291.2,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
356589000,2021-02-19T00:07:12,37.23805,-76.09434,0.0,237.7,342.0,DOUBLE FORTUNE,IMO9574119,3FHZ2,70,1,234,38,14.5,70,A
367862000,2021-02-19T00:07:31,36.94811,-76.32974,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
366839000,2021-02-19T00:08:01,36.85348,-76.31083,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,,A
319155200,2021-02-19T00:07:56,36.87953,-76.32639,0.0,300.5,275.0,CLARA,IMO9304083,ZGII,70,5,225,32,7.3,70,A
303210000,2021-02-19T00:06:42,37.26895,-76.12282,16.1,18.0,15.0,PATRIOT,IMO9316139,WAIU,70,0,199,32,11.3,,A
367822000,2021-02-19T00:08:09,36.97309,-76.43387,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
636017072,2021-02-19T00:07:23,37.23898,-76.11537,0.0,255.7,345.0,SZARE SZEREGI,IMO9708057,D5JD9,70,1,,,,,A
538005972,2021-02-19T00:06:57,36.97848,-76.44463,12.2,152.0,152.0,AUCKLAND SPIRIT,IMO9268083,V7IP8,70,0,171,27,10.4,,A
538005972,2021-02-19T00:08:06,36.97500,-76.44243,12.3,153.0,151.0,AUCKLAND SPIRIT,IMO9268083,V7IP8,70,0,171,27,10.4,,A
338846000,2021-02-19T00:07:18,36.86558,-76.31581,0.0,0.1,511.0,USNS MENDONCA,IMO9147320,NBMK,70,5,289,32,10.9,,A
373119000,2021-02-19T00:07:50,36.90902,-76.32713,0.0,328.0,352.0,HELSINKI BRIDGE,IMO9588081,3FIW4,70,5,334,45,14.0,73,A
367136680,2021-02-19T00:08:37,36.92408,-76.32959,0.0,92.5,357.0,ST LOUIS EXPRESS,IMO9243186,WDD3825,70,5,243,32,11.0,79,A
373765000,2021-02-19T00:09:03,37.26326,-76.10604,0.1,240.4,351.0,AM CONTRECOEUR,IMO9583184,3FBX4,70,1,229,32,14.4,,A
338678000,2021-02-19T00:09:04,36.91616,-76.16836,0.0,286.4,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
368026000,2021-02-19T00:08:44,36.86575,-76.31603,0.0,234.1,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
356643000,2021-02-19T00:08:04,36.93718,-76.37840,0.0,157.2,286.0,ARKI,IMO9561801,3ENP3,70,1,170,27,9.7,70,A
303210000,2021-02-19T00:07:48,37.27365,-76.12099,16.1,17.0,14.0,PATRIOT,IMO9316139,WAIU,70,0,199,32,11.3,,A
565359000,2021-02-19T00:08:57,36.96508,-76.43201,2.4,134.8,122.0,ETERNAL BLISS,IMO9433626,9V8264,70,0,229,32,14.4,70,A
372697000,2021-02-19T00:07:46,36.97018,-76.44378,0.0,188.5,336.0,BALSA 85,IMO9580261,H9UN,70,1,106,19,6.8,70,A
220413000,2021-02-19T00:09:28,36.91245,-76.32773,0.0,81.9,353.0,GUNVOR MAERSK,IMO9302891,OYGC2,70,5,367,42,15.0,,A
636017072,2021-02-19T00:10:23,37.23897,-76.11541,0.1,255.7,344.0,SZARE SZEREGI,IMO9708057,D5JD9,70,1,,,,,A
368445000,2021-02-19T00:08:01,36.96308,-76.42011,0.0,55.8,188.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
367862000,2021-02-19T00:10:31,36.94813,-76.32974,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
355185000,2021-02-19T00:08:41,37.00299,-76.22424,14.9,109.5,109.0,MSC GISELLE,IMO9720196,3FPX4,70,0,299,48,14.5,,A
538005622,2021-02-19T00:08:40,37.25248,-76.10085,0.0,320.4,341.0,SASEBO GREEN,IMO9675468,V7FN3,70,1,225,32,14.4,,A
303210000,2021-02-19T00:08:54,37.27843,-76.11928,16.3,16.9,15.0,PATRIOT,IMO9316139,WAIU,70,0,199,32,11.3,,A
367359930,2021-02-19T00:08:15,36.82419,-76.28914,0.0,291.1,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
538005972,2021-02-19T00:10:17,36.96843,-76.43790,12.3,151.0,148.0,AUCKLAND SPIRIT,IMO9268083,V7IP8,70,0,171,27,10.4,,A
366841000,2021-02-19T00:08:49,36.85331,-76.31054,0.0,0.0,511.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,,A
538005972,2021-02-19T00:09:07,36.97193,-76.44033,12.3,150.0,149.0,AUCKLAND SPIRIT,IMO9268083,V7IP8,70,0,171,27,10.4,,A
367359930,2021-02-19T00:09:24,36.82420,-76.28915,0.0,291.8,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
