MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
636014652,2020-11-16T00:00:03,36.99581,-76.30674,10.7,247.6,245.0,MARIA,IMO9577422,A8VQ5,70,0,196,32,7.4,70,A
372855000,2020-11-16T00:00:08,36.96602,-76.36098,0.5,178.0,151.0,AGRI KINSALE,IMO9317456,3FOG7,70,0,225,32,14.2,70,A
367359930,2020-11-16T00:00:09,36.82418,-76.28913,0.0,60.1,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
366574000,2020-11-16T00:00:22,36.97369,-76.43604,0.0,256.7,243.0,CORNHUSKER STATE,IMO6916433,KAFQ,70,5,185,23,9.6,70,A
367821000,2020-11-16T00:00:25,36.97284,-76.43364,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,5,276,32,13.0,70,A
565449000,2020-11-16T00:00:47,36.87117,-76.34817,0.1,257.7,348.0,MAERSK SERANGOON,IMO9315214,S6CH2,70,5,318,40,14.0,,A
367862000,2020-11-16T00:00:50,36.94820,-76.32980,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
338678000,2020-11-16T00:00:55,36.91623,-76.16842,0.0,203.8,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
366839000,2020-11-16T00:01:06,36.85349,-76.31082,0.0,136.2,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,,A
538004978,2020-11-16T00:01:09,37.20012,-76.12214,0.3,75.8,171.0,AM QUEBEC,IMO9624108,V7AE7,70,1,229,32,14.4,,A
636014652,2020-11-16T00:01:12,36.99454,-76.31064,10.5,247.7,245.0,MARIA,IMO9577422,A8VQ5,70,0,196,32,7.4,70,A
372855000,2020-11-16T00:01:18,36.96587,-76.36097,0.3,169.0,146.0,AGRI KINSALE,IMO9317456,3FOG7,70,0,225,32,14.2,70,A
367359930,2020-11-16T00:01:20,36.82417,-76.28912,0.0,44.5,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
367822000,2020-11-16T00:01:20,36.97308,-76.43385,0.0,0.0,240.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
240569000,2020-11-16T00:01:21,36.87950,-76.32642,0.0,23.0,274.0,KYZIKOS,IMO9343845,SXUE,70,5,229,36,14.7,79,A
368026000,2020-11-16T00:01:53,36.86576,-76.31606,0.1,167.5,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
367932000,2020-11-16T00:02:04,36.95048,-76.32941,0.0,149.9,279.0,JOHN LENTHALL,IMO8325547,NJLN,80,5,193,29,,,A
354774000,2020-11-16T00:02:05,36.87982,-76.33112,0.0,242.6,96.0,LILY ATLANTIC,IMO9433614,HOWL,70,5,229,32,14.4,70,A
477065200,2020-11-16T00:02:09,36.87554,-76.34937,0.0,33.1,346.0,COSCO FORTUNE,IMO9472127,VRKE9,70,5,366,48,15.5,70,A
636014652,2020-11-16T00:02:22,36.99332,-76.31446,9.9,247.9,240.0,MARIA,IMO9577422,A8VQ5,70,0,196,32,7.4,70,A
372177000,2020-11-16T00:02:26,37.28305,-76.10034,0.1,314.0,179.0,TIGER LILY,IMO9744984,3EUW3,70,1,228,,,,A
372855000,2020-11-16T00:02:29,36.96570,-76.36078,0.7,137.0,149.0,AGRI KINSALE,IMO9317456,3FOG7,70,0,225,32,14.2,70,A
367359930,2020-11-16T00:02:28,36.82418,-76.28913,0.0,26.6,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
