MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
352979000,2021-11-19T00:00:02,37.25974,-76.09534,0.5,278.5,184.0,GLORY MOON,IMO7328786,HOBR,70,1,175,25,,70,A
538007238,2021-11-19T00:00:04,37.25860,-76.11334,0.0,264.6,174.0,SAMJOHN LEGACY,IMO9434436,V7ZX7,70,1,292,45,9.3,70,A
428403000,2021-11-19T00:00:10,36.90894,-76.32727,0.0,259.7,353.0,ZIM YOKOHAMA,IMO9322346,4XFD,71,5,260,32,10.2,71,A
257771000,2021-11-19T00:00:01,37.12616,-76.13584,12.2,152.3,154.0,STAR ARTEMIS,IMO9738208,LAUW7,70,0,199,32,13.3,70,A
563012500,2021-11-19T00:00:09,36.96894,-76.43158,0.0,14.2,49.0,LOWLANDS HOPE,IMO9727182,9V5326,70,5,199,,,70,A
374581000,2021-11-19T00:00:42,37.19396,-76.10245,0.1,118.2,165.0,CHICAGO HARMONY,IMO9755696,3FGE3,70,1,182,,,70,A
538004298,2021-11-19T00:00:13,36.97392,-76.11034,9.1,107.9,107.0,BEKS YILMAZ,IMO9628116,V7WG9,70,0,229,32,14.4,70,A
366842000,2021-11-19T00:00:07,36.85398,-76.31145,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,79,A
338678000,2021-11-19T00:00:26,36.91661,-76.17434,0.0,248.6,99.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
538006378,2021-11-19T00:00:02,37.21451,-76.08998,0.1,247.6,177.0,ARGONAUT,IMO9717694,V7MK8,70,1,229,,,70,A
257771000,2021-11-19T00:01:10,37.12271,-76.13357,12.2,151.3,154.0,STAR ARTEMIS,IMO9738208,LAUW7,70,0,199,32,13.3,70,A
366539000,2021-11-19T00:01:22,36.96315,-76.42024,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
564220000,2021-11-19T00:00:32,36.96727,-76.43005,0.0,147.0,41.0,THOR MERCURY,IMO9300221,9V2557,70,5,189,32,12.5,70,A
212438000,2021-11-19T00:00:33,36.87960,-76.32649,0.0,293.2,276.0,PEDHOULAS CHERRY,IMO9738040,5BFD4,70,5,229,,,70,A
368026000,2021-11-19T00:00:13,36.86575,-76.31613,0.0,337.9,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
367822000,2021-11-19T00:00:50,36.97310,-76.43386,0.0,0.0,1.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
367359930,2021-11-19T00:00:43,36.82407,-76.28904,0.0,248.5,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
636018742,2021-11-19T00:02:04,37.22897,-76.09370,0.2,323.0,186.0,AQUATIC,IMO9363089,D5RE4,70,1,229,32,9.3,70,A
372100000,2021-11-19T00:01:42,37.23845,-76.11965,0.0,164.0,176.0,N AMALTHIA,IMO9364277,3EIC7,70,1,224,32,13.8,79,A
366539000,2021-11-19T00:00:13,36.96315,-76.42025,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
548932000,2021-11-19T00:00:41,37.20977,-76.10679,0.0,161.6,163.0,WESTERN MONACO,IMO9717345,DUHW,70,1,229,,,70,A
366418000,2021-11-19T00:02:11,36.90484,-76.32640,0.0,150.4,352.0,POTOMAC EXPRESS,IMO9349526,WDM2204,70,5,306,40,12.6,70,A
538004298,2021-11-19T00:01:22,36.97299,-76.10682,9.2,108.0,107.0,BEKS YILMAZ,IMO9628116,V7WG9,70,0,229,32,14.4,70,A
366839000,2021-11-19T00:02:14,36.85327,-76.31058,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
218474000,2021-11-19T00:00:38,36.91306,-76.32780,0.0,188.3,352.0,ESSEN EXPRESS,IMO9501370,DCQP2,70,5,366,48,15.5,72,A
257444000,2021-11-19T00:01:16,37.21957,-76.07394,0.0,297.8,182.0,STAVANGER PIONEER,IMO9835044,LAZV7,82,1,183,32,7.6,82,A
368707000,2021-11-19T00:01:25,36.93064,-76.33225,0.0,266.6,86.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
256362000,2021-11-19T00:01:46,37.17962,-76.12950,0.0,260.5,170.0,BELMEKEN,IMO9576014,9HA3894,70,1,176,26,9.9,70,A
538007238,2021-11-19T00:03:03,37.25861,-76.11338,0.1,256.5,174.0,SAMJOHN LEGACY,IMO9434436,V7ZX7,70,1,292,45,9.3,70,A
271042433,2021-11-19T00:02:45,36.92733,-76.32989,0.0,354.0,354.0,MUSTAFA DAYI,IMO9365855,TCZF2,70,5,182,28,11.0,79,A
538008998,2021-11-19T00:01:30,37.21547,-76.12940,0.1,239.9,173.0,GENERAL GUISAN,IMO9888027,V7A4178,70,1,197,32,6.8,70,A
240979000,2021-11-19T00:03:00,37.24703,-76.10450,0.0,258.0,174.0,ANANGEL HARMONY,IMO9434412,SVAX3,70,1,292,45,18.0,70,A
538004298,2021-11-19T00:02:23,36.97223,-76.10387,9.1,107.9,107.0,BEKS YILMAZ,IMO9628116,V7WG9,70,0,229,32,14.4,70,A
538006378,2021-11-19T00:03:02,37.21453,-76.09001,0.1,281.1,175.0,ARGONAUT,IMO9717694,V7MK8,70,1,229,,,70,A
428403000,2021-11-19T00:03:09,36.90892,-76.32712,0.1,275.5,353.0,ZIM YOKOHAMA,IMO9322346,4XFD,71,5,260,32,10.2,71,A
219028014,2021-11-19T00:02:41,36.96248,-76.42358,0.1,273.8,39.0,NORD BALTIC,IMO9826433,OZSL2,70,5,200,32,6.4,70,A
368026000,2021-11-19T00:03:14,36.86574,-76.31610,0.0,337.9,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
366539000,2021-11-19T00:03:44,36.96313,-76.42023,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
368707000,2021-11-19T00:04:26,36.93061,-76.33226,0.0,266.6,86.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
218474000,2021-11-19T00:03:38,36.91308,-76.32783,0.0,188.3,352.0,ESSEN EXPRESS,IMO9501370,DCQP2,70,5,366,48,15.5,72,A
538004298,2021-11-19T00:03:32,36.97131,-76.10037,9.1,108.7,107.0,BEKS YILMAZ,IMO9628116,V7WG9,70,0,229,32,14.4,70,A
548932000,2021-11-19T00:03:41,37.20978,-76.10676,0.0,161.6,163.0,WESTERN MONACO,IMO9717345,DUHW,70,1,229,,,70,A
563012500,2021-11-19T00:03:09,36.96890,-76.43157,0.0,14.2,49.0,LOWLANDS HOPE,IMO9727182,9V5326,70,5,199,,,70,A
366539000,2021-11-19T00:02:33,36.96313,-76.42024,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
352979000,2021-11-19T00:03:02,37.25977,-76.09579,0.4,269.3,172.0,GLORY MOON,IMO7328786,HOBR,70,1,175,25,,70,A
367359930,2021-11-19T00:03:32,36.82407,-76.28904,0.0,249.8,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
367359930,2021-11-19T00:02:22,36.82407,-76.28903,0.0,251.2,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
257771000,2021-11-19T00:02:21,37.11920,-76.13120,12.2,151.6,154.0,STAR ARTEMIS,IMO9738208,LAUW7,70,0,199,32,13.3,70,A
257444000,2021-11-19T00:04:18,37.21958,-76.07396,0.0,297.8,181.0,STAVANGER PIONEER,IMO9835044,LAZV7,82,1,183,32,7.6,82,A
