MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366841000,2022-05-17T00:00:00,36.85347,-76.31080,0.0,0.0,40.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
212054000,2022-05-17T00:01:14,37.27325,-76.11145,0.3,31.0,134.0,CAPE ISLAND,IMO9277711,P3QT9,70,1,288,45,17.7,70,A
538009297,2022-05-17T00:00:30,37.20992,-76.09907,0.1,66.1,160.0,NORDIC ODIN,IMO9687239,V7A4559,79,1,225,32,7.1,79,A
248699000,2022-05-17T00:00:32,36.90523,-76.32643,0.0,134.0,352.0,APL FLORIDA,IMO9350032,9HA4766,79,5,293,40,13.4,79,A
353718000,2022-05-17T00:00:44,37.26389,-76.15491,0.1,21.6,108.0,ZENA A,IMO9087221,3FJN4,70,1,185,30,11.2,70,A
367359930,2022-05-17T00:00:28,36.82422,-76.28912,0.0,222.5,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
563159900,2022-05-17T00:00:41,37.19740,-76.13378,0.2,268.0,174.0,ANNEGRIT,IMO9512630,9V8102,70,1,200,32,6.8,70,A
538008995,2022-05-17T00:02:16,37.23017,-76.15635,0.1,81.6,184.0,AM JYOTI,IMO9880233,V7A4174,70,1,229,32,7.3,70,A
369462000,2022-05-17T00:01:09,36.93051,-76.33239,0.0,196.3,87.0,USNS MONTFORD POINT,IMO9647514,NMFP,70,5,239,49,12.0,35,A
563109600,2022-05-17T00:00:28,36.96912,-76.09077,8.7,109.3,110.0,GREEN UNIVERSE,IMO9573751,9V6845,70,0,292,45,15.3,70,A
367862000,2022-05-17T00:01:10,36.94837,-76.33068,0.0,50.2,99.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,35,A
367866000,2022-05-17T00:02:10,36.94347,-76.33272,0.0,61.3,87.0,LEROY GRUMMAN,IMO8511500,NNLG,80,5,206,29,,0,A
367359930,2022-05-17T00:01:38,36.82421,-76.28911,0.0,224.5,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
215676000,2022-05-17T00:01:14,36.87945,-76.33129,0.0,22.0,96.0,ORDU,IMO9584047,9HA2780,70,5,229,32,14.5,70,A
431986000,2022-05-17T00:01:48,36.87900,-76.35017,0.0,178.9,345.0,ONE STORK,IMO9784788,7KCR,70,5,364,51,11.5,70,A
354751000,2022-05-17T00:00:33,37.00392,-76.22453,18.1,288.0,288.0,ORCA I,IMO9318113,3FPD6,70,0,294,33,13.5,70,A
477631300,2022-05-17T00:01:48,37.21496,-76.10707,0.1,75.6,157.0,TIGER NORTH,IMO9619878,VRKE5,70,1,225,32,14.2,70,A
538009521,2022-05-17T00:01:58,37.24746,-76.14764,0.2,21.1,157.0,VENTURE BREEZE,IMO9725419,V7A4843,70,1,179,30,7.0,70,A
538007067,2022-05-17T00:01:56,37.23491,-76.10854,0.2,53.5,158.0,ULTRA PUMA,IMO9758399,V7LY7,70,1,228,,,70,A
538009627,2022-05-17T00:02:13,37.22280,-76.11907,0.2,248.5,165.0,MAGIC MARS,IMO9691400,V7A4973,70,1,223,32,8.7,70,A
477108700,2022-05-17T00:02:03,37.20555,-76.08613,0.0,259.0,169.0,GOLDEN SUEK,IMO9438614,VRJN9,70,1,224,32,14.5,79,A
356882000,2022-05-17T00:01:27,36.96733,-76.42992,0.1,200.8,42.0,JP CARETTA,IMO9442835,3EQK,70,5,229,38,13.8,70,A
563109600,2022-05-17T00:01:37,36.96824,-76.08746,8.8,108.8,111.0,GREEN UNIVERSE,IMO9573751,9V6845,70,0,292,45,15.3,70,A
563109600,2022-05-17T00:02:48,36.96732,-76.08405,8.8,108.6,110.0,GREEN UNIVERSE,IMO9573751,9V6845,70,0,292,45,15.3,70,A
636018643,2022-05-17T00:01:54,37.22212,-76.08701,0.0,82.1,173.0,TAHO EUROPE,IMO9805790,D5QR3,70,1,228,36,7.5,70,A
366839000,2022-05-17T00:01:39,36.85327,-76.31056,0.0,0.0,39.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
371040000,2022-05-17T00:01:55,36.96278,-76.42425,0.0,194.1,39.0,SUIGO,IMO9536791,3EWI4,70,5,289,45,18.0,70,A
368026000,2022-05-17T00:02:11,36.86571,-76.31610,0.0,189.2,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
209087000,2022-05-17T00:02:24,36.90989,-76.32738,0.0,316.1,353.0,CAPE PIONEER,IMO9719874,5BUE4,70,5,271,43,11.2,70,A
257316000,2022-05-17T00:01:23,37.21306,-76.16020,0.0,177.3,181.0,SPAR LYRA,IMO9289013,LAZP5,70,1,190,32,12.6,70,A
354751000,2022-05-17T00:01:38,37.00565,-76.23099,18.2,288.2,288.0,ORCA I,IMO9318113,3FPD6,70,0,294,33,13.5,70,A
563081600,2022-05-17T00:02:54,37.23703,-76.12090,0.3,9.0,163.0,SOUTHERN HAWK,IMO9858527,9V6042,70,1,229,32,8.1,70,A
354643000,2022-05-17T00:01:52,37.19905,-76.12152,0.0,198.0,163.0,HONG SHENG,IMO9563627,3FLE9,70,1,225,32,14.2,70,A
367359930,2022-05-17T00:02:48,36.82420,-76.28911,0.0,227.3,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
311001075,2022-05-17T00:01:52,37.21019,-76.13053,0.1,279.1,184.0,UNITY ENDEAVOUR,IMO9696797,C6FD3,70,1,200,32,6.8,70,A
229602000,2022-05-17T00:01:55,36.96896,-76.43161,0.0,181.3,50.0,KIRAN AUSTRALIA,IMO9576961,9HA3438,70,5,199,32,13.3,70,A
