MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
367359930,2021-02-21T00:00:06,36.82417,-76.28911,0.0,285.2,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
477770400,2021-02-21T00:00:10,36.87992,-76.33155,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
351047000,2021-02-21T00:00:08,37.29060,-76.11361,13.5,19.9,11.0,PUPLINGE,IMO9782156,3FDO8,70,0,,,,,A
366842000,2021-02-21T00:00:16,36.85381,-76.31119,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,,A
428405000,2021-02-21T00:00:33,36.90624,-76.32671,0.0,351.4,351.0,ZIM QINGDAO,IMO9318163,4XFC,71,5,261,32,12.2,71,A
338273000,2021-02-21T00:01:04,36.96377,-76.35620,0.0,24.2,282.0,SLNC YORK,IMO9538907,WNCG,70,1,142,23,5.5,70,A
367353070,2021-02-21T00:00:04,36.94415,-76.32950,0.0,160.0,267.0,EVERGREEN STATE,IMO9408138,WDE4430,80,5,183,32,11.8,89,A
367862000,2021-02-21T00:00:45,36.94809,-76.32972,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
477950300,2021-02-21T00:00:32,36.87517,-76.34934,0.0,140.9,347.0,COSCO DEVELOPMENT,IMO9472139,VRIZ9,70,5,366,48,15.5,70,A
538005622,2021-02-21T00:00:16,36.87958,-76.32627,0.0,121.1,276.0,SASEBO GREEN,IMO9675468,V7FN3,70,5,225,32,14.4,,A
338678000,2021-02-21T00:00:30,36.91619,-76.16840,0.0,290.4,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
373765000,2021-02-21T00:00:16,37.26342,-76.10533,0.1,230.7,344.0,AM CONTRECOEUR,IMO9583184,3FBX4,70,1,229,32,14.4,,A
356589000,2021-02-21T00:01:14,37.23803,-76.09464,0.0,177.8,345.0,DOUBLE FORTUNE,IMO9574119,3FHZ2,70,1,234,38,14.5,70,A
477770400,2021-02-21T00:01:19,36.87991,-76.33155,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
367821000,2021-02-21T00:01:54,36.97281,-76.43365,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,5,276,32,13.0,70,A
356643000,2021-02-21T00:02:05,36.93733,-76.37767,0.1,123.9,284.0,ARKI,IMO9561801,3ENP3,70,1,170,27,9.7,70,A
477770400,2021-02-21T00:02:29,36.87991,-76.33155,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
367822000,2021-02-21T00:02:09,36.97310,-76.43383,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
351047000,2021-02-21T00:01:17,37.29471,-76.11253,12.8,2.5,357.0,PUPLINGE,IMO9782156,3FDO8,70,0,,,,,A
255806078,2021-02-21T00:02:20,36.90925,-76.32715,0.1,306.9,352.0,NORTHERN MAGNUM,IMO9252541,CQIV4,71,5,300,40,11.3,71,A
477770400,2021-02-21T00:03:39,36.87991,-76.33156,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
351047000,2021-02-21T00:02:28,37.29888,-76.11274,12.6,355.0,355.0,PUPLINGE,IMO9782156,3FDO8,70,0,,,,,A
366842000,2021-02-21T00:03:11,36.85383,-76.31118,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,,A
351047000,2021-02-21T00:03:38,37.30294,-76.11319,12.6,355.2,355.0,PUPLINGE,IMO9782156,3FDO8,70,0,,,,,A
