MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538004298,2021-11-16T00:00:32,37.21197,-76.11984,0.0,130.8,217.0,BEKS YILMAZ,IMO9628116,V7WG9,70,1,229,32,14.4,70,A
538006378,2021-11-16T00:00:02,37.21391,-76.08776,0.1,333.2,213.0,ARGONAUT,IMO9717694,V7MK8,70,1,229,,,70,A
367359930,2021-11-16T00:01:12,36.82420,-76.28914,0.0,247.0,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
636019413,2021-11-16T00:00:17,36.87100,-76.34800,0.0,347.3,347.0,MSC PARIS,IMO9301483,D5UK4,71,5,334,42,13.2,70,A
367822000,2021-11-16T00:00:26,36.97314,-76.43386,0.0,0.0,0.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
367359930,2021-11-16T00:00:03,36.82420,-76.28913,0.0,254.6,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
636014624,2021-11-16T00:00:03,36.87930,-76.33105,0.2,268.5,95.0,BULK MEXICO,IMO9469003,A8VL8,70,0,292,45,18.3,70,A
352979000,2021-11-16T00:00:02,37.25864,-76.09214,0.3,331.4,230.0,GLORY MOON,IMO7328786,HOBR,70,1,175,25,,70,A
538007238,2021-11-16T00:00:02,37.25752,-76.11041,0.4,319.9,232.0,SAMJOHN LEGACY,IMO9434436,V7ZX7,70,1,292,45,9.4,70,A
220413000,2021-11-16T00:00:00,37.04313,-76.07027,13.3,324.3,321.0,GUNVOR MAERSK,IMO9302891,OYGC2,70,0,367,42,15.0,71,A
366539000,2021-11-16T00:00:03,36.96316,-76.42023,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
368026000,2021-11-16T00:00:13,36.86579,-76.31604,0.0,195.9,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
338678000,2021-11-16T00:00:20,36.91667,-76.17436,0.0,259.6,99.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
636018660,2021-11-16T00:00:53,36.90878,-76.32718,0.0,214.4,354.0,MSC ANTONIA,IMO9398216,D5QT7,70,5,304,40,12.8,70,A
636014624,2021-11-16T00:01:12,36.87927,-76.33121,0.2,242.1,94.0,BULK MEXICO,IMO9469003,A8VL8,70,0,292,45,18.3,70,A
366539000,2021-11-16T00:01:23,36.96315,-76.42024,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
219028014,2021-11-16T00:00:32,37.20311,-76.12440,0.1,23.8,222.0,NORD BALTIC,IMO9826433,OZSL2,70,1,200,32,6.4,70,A
240979000,2021-11-16T00:00:00,37.24592,-76.10175,0.0,255.0,225.0,ANANGEL HARMONY,IMO9434412,SVAX3,70,1,292,45,18.0,70,A
548932000,2021-11-16T00:00:41,37.20858,-76.10340,0.1,355.5,235.0,WESTERN MONACO,IMO9717345,DUHW,70,1,229,,,70,A
563131100,2021-11-16T00:01:06,36.96284,-76.42408,0.0,24.1,40.0,KN BLOSSOM,IMO9906300,9V6841,70,5,229,32,7.3,70,A
256362000,2021-11-16T00:01:26,37.17795,-76.12669,0.0,347.9,251.0,BELMEKEN,IMO9576014,9HA3894,70,1,176,26,9.9,70,A
212438000,2021-11-16T00:01:26,37.19796,-76.11070,0.0,306.4,235.0,PEDHOULAS CHERRY,IMO9738040,5BFD4,70,1,229,,,70,A
367633000,2021-11-16T00:01:22,36.96632,-76.42773,0.0,30.2,222.0,LONESTAR STATE,IMO9697985,WLSY,80,5,178,,,80,A
257771000,2021-11-16T00:01:13,37.22192,-76.10583,0.2,133.6,233.0,STAR ARTEMIS,IMO9738208,LAUW7,70,1,199,32,13.3,70,A
338071000,2021-11-16T00:02:18,36.92484,-76.32960,0.0,274.6,354.0,MAERSK PITTSBURGH,IMO9342176,WMPP,70,5,300,40,14.5,71,A
220413000,2021-11-16T00:01:04,37.04626,-76.07330,13.2,321.5,320.0,GUNVOR MAERSK,IMO9302891,OYGC2,70,0,367,42,15.0,71,A
366839000,2021-11-16T00:01:45,36.85326,-76.31055,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
366841000,2021-11-16T00:01:35,36.85349,-76.31086,0.0,0.0,40.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
636018742,2021-11-16T00:02:03,37.22805,-76.09005,0.2,336.0,234.0,AQUATIC,IMO9363089,D5RE4,70,1,229,32,9.3,70,A
563016600,2021-11-16T00:02:04,37.26765,-76.10642,0.2,305.1,240.0,ASIAN SUMMIT,IMO9725005,9V3659,70,1,200,32,9.6,70,A
220413000,2021-11-16T00:02:06,37.04919,-76.07621,13.3,321.7,320.0,GUNVOR MAERSK,IMO9302891,OYGC2,70,0,367,42,15.0,71,A
