MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367359930,2022-02-17T00:00:09,36.82406,-76.28908,0.0,253.3,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
356195000,2022-02-17T00:00:01,36.96465,-76.35950,0.0,229.0,84.0,BUNGA LILAC,IMO9542166,3FTM,89,1,147,25,6.6,89,A
368808000,2022-02-17T00:00:00,36.93231,-76.33179,0.0,359.9,85.0,WRIGHT,IMO6924571,WGLW,70,5,183,27,10.4,90,A
538008995,2022-02-17T00:00:13,36.87935,-76.33133,0.0,91.8,94.0,AM JYOTI,IMO9880233,V7A4174,70,5,229,32,8.3,70,A
219258000,2022-02-17T00:00:12,36.91028,-76.32742,0.0,353.0,353.0,ROME EXPRESS,IMO9447861,OYYT2,71,5,366,48,12.2,71,A
636015975,2022-02-17T00:00:05,37.04389,-76.07219,17.5,322.9,323.0,AGIOS DIMITRIOS,IMO9349605,D5DU8,71,0,299,40,11.1,71,A
636015975,2022-02-17T00:01:11,37.04813,-76.07620,17.3,322.9,323.0,AGIOS DIMITRIOS,IMO9349605,D5DU8,71,0,299,40,11.1,71,A
366839000,2022-02-17T00:01:19,36.85328,-76.31052,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
367822000,2022-02-17T00:00:34,36.97309,-76.43387,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
564220000,2022-02-17T00:00:37,37.19867,-76.12630,0.0,207.0,121.0,THOR MERCURY,IMO9300221,9V2557,70,1,189,32,12.5,70,A
219033000,2022-02-17T00:01:33,36.87894,-76.35018,0.0,320.3,346.0,MAERSK EDINBURGH,IMO9456757,OXLT2,74,5,366,48,12.0,74,A
338678000,2022-02-17T00:00:51,36.91617,-76.16843,0.0,240.3,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
255806494,2022-02-17T00:01:00,36.87098,-76.34796,0.0,219.6,346.0,MSC ELODIE,IMO9704972,CQEV3,71,5,300,48,11.7,71,A
538009119,2022-02-17T00:00:56,37.17230,-76.12466,0.0,197.0,129.0,ARMONIA.GR,IMO9758868,V7A4344,70,1,199,32,6.7,70,A
368707000,2022-02-17T00:00:57,36.93060,-76.33221,0.0,0.0,85.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
257087080,2022-02-17T00:00:38,37.24696,-76.11699,0.1,319.2,79.0,ORION,IMO9495935,LAIS8,70,1,189,32,9.2,70,A
212040000,2022-02-17T00:00:38,37.21291,-76.10121,0.1,30.4,115.0,UBC TILBURY,IMO9416721,5BXL2,70,1,182,28,10.8,77,A
354706000,2022-02-17T00:00:19,37.16324,-76.13758,0.0,139.9,120.0,CORESHIP OL,IMO9473755,HORG,70,1,178,29,7.0,70,A
232025072,2022-02-17T00:00:54,37.19553,-76.11105,0.0,348.9,118.0,ANGLO CYNOSURE,IMO9599133,MGIL3,70,1,240,38,7.5,70,A
352692000,2022-02-17T00:01:36,37.20306,-76.13577,0.1,344.0,125.0,MELODIA,IMO9607813,3EZI2,70,1,225,32,14.4,70,A
371392000,2022-02-17T00:01:14,37.21959,-76.11458,0.0,28.5,114.0,BELMOIRA,IMO9873278,3FVC3,70,1,200,32,10.0,70,A
538007024,2022-02-17T00:01:35,37.20952,-76.08801,0.1,178.7,112.0,RIKKE,IMO9784362,V7BB3,70,1,228,,,70,A
367359930,2022-02-17T00:01:20,36.82406,-76.28908,0.0,251.0,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
367866000,2022-02-17T00:02:32,36.96243,-76.41925,0.0,0.0,189.0,LEROY GRUMMAN,IMO8511500,NNLG,80,5,206,29,,0,A
368026000,2022-02-17T00:01:25,36.86583,-76.31605,0.0,166.8,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
538003974,2022-02-17T00:02:22,37.18703,-76.13020,0.0,52.6,128.0,KINGFISHER,IMO9441348,V7UL8,70,1,189,32,12.9,70,A
636092950,2022-02-17T00:02:33,37.21954,-76.13054,0.0,320.4,114.0,RANGER,IMO9493999,D5WU6,70,1,229,32,7.0,70,A
367862000,2022-02-17T00:02:36,36.94581,-76.33285,0.0,97.8,87.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,35,A
636018518,2022-02-17T00:02:19,36.87985,-76.33108,0.0,251.1,95.0,MEDI GINEVRA,IMO9815939,D5QB3,70,5,229,36,7.4,70,A
366841000,2022-02-17T00:01:37,36.85346,-76.31081,0.0,0.0,41.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
538008995,2022-02-17T00:03:13,36.87934,-76.33131,0.0,91.8,94.0,AM JYOTI,IMO9880233,V7A4174,70,5,229,32,8.3,70,A
636015975,2022-02-17T00:02:18,37.05243,-76.08024,17.6,322.9,324.0,AGIOS DIMITRIOS,IMO9349605,D5DU8,71,0,299,40,11.1,71,A
373075000,2022-02-17T00:02:14,36.96281,-76.42417,0.1,126.6,38.0,FRONTIER UNITY,IMO9604976,3FJX7,70,5,291,45,18.2,79,A
352892000,2022-02-17T00:02:38,37.21757,-76.09123,0.1,332.0,74.0,NAVIOS ALEGRIA,IMO9284893,H9GP,70,1,225,32,14.0,70,A
636016295,2022-02-17T00:01:52,37.18515,-76.11501,0.1,124.0,136.0,ANTONIA S,IMO9591088,D5FK7,70,1,229,32,14.4,70,A
367359930,2022-02-17T00:02:29,36.82404,-76.28905,0.0,250.8,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
636015975,2022-02-17T00:04:29,37.06079,-76.08812,17.2,322.2,323.0,AGIOS DIMITRIOS,IMO9349605,D5DU8,71,0,299,40,11.1,71,A
314509000,2022-02-17T00:02:05,37.20858,-76.12359,0.0,354.5,119.0,OTHRYS,IMO9905277,8PAV5,70,1,200,32,6.8,70,A
368808000,2022-02-17T00:02:59,36.93229,-76.33179,0.0,359.9,85.0,WRIGHT,IMO6924571,WGLW,70,5,183,27,10.4,90,A
477832600,2022-02-17T00:02:36,37.22954,-76.09853,0.1,318.4,74.0,TIGER SOUTH,IMO9619854,VRKE3,70,1,225,32,14.2,70,A
538007650,2022-02-17T00:01:47,37.18540,-76.14377,0.1,2.2,129.0,AFRICAN QUEEN,IMO9389930,V7YZ4,70,1,190,32,6.4,70,A
355673000,2022-02-17T00:02:47,37.23847,-76.10391,0.0,324.1,66.0,NORD EVEREST,IMO9658965,H8WG,70,1,200,32,9.8,70,A
636020252,2022-02-17T00:02:12,36.91252,-76.32768,0.0,351.0,351.0,LONG BEACH EXPRESS,IMO9348675,A8OU4,79,5,293,32,12.5,79,A
371392000,2022-02-17T00:04:14,37.21963,-76.11453,0.0,28.5,116.0,BELMOIRA,IMO9873278,3FVC3,70,1,200,32,10.0,70,A
564220000,2022-02-17T00:03:36,37.19867,-76.12633,0.0,207.0,121.0,THOR MERCURY,IMO9300221,9V2557,70,1,189,32,12.5,70,A
305865000,2022-02-17T00:01:25,36.95113,-76.36409,0.0,293.0,102.0,BBC VESUVIUS,IMO9508471,V2GB4,70,1,125,22,7.6,70,A
354706000,2022-02-17T00:03:19,37.16326,-76.13756,0.0,162.2,120.0,CORESHIP OL,IMO9473755,HORG,70,1,178,29,7.0,70,A
367932000,2022-02-17T00:02:41,36.95953,-76.33001,0.0,67.0,100.0,JOHN LENTHALL,IMO8325547,NJLN,80,5,193,29,,35,A
563862000,2022-02-17T00:02:48,37.26721,-76.10889,0.1,289.9,67.0,MANDARIN GRACE,IMO9569267,9V8352,70,1,189,32,12.8,70,A
367359930,2022-02-17T00:03:39,36.82405,-76.28904,0.0,252.6,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
338678000,2022-02-17T00:03:51,36.91616,-76.16844,0.0,241.1,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
367822000,2022-02-17T00:03:33,36.97309,-76.43387,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
219258000,2022-02-17T00:03:12,36.91029,-76.32742,0.0,353.1,353.0,ROME EXPRESS,IMO9447861,OYYT2,71,5,366,48,12.2,71,A
367062040,2022-02-17T00:02:52,36.83695,-76.27933,0.0,196.8,511.0,SKIPPIN SUE,,WDC6842,74,5,36,9,3.0,74,A
636015975,2022-02-17T00:03:23,37.05667,-76.08422,17.2,322.7,324.0,AGIOS DIMITRIOS,IMO9349605,D5DU8,71,0,299,40,11.1,71,A
355328000,2022-02-17T00:02:17,37.25459,-76.10413,0.0,341.7,53.0,CHASSELAS,IMO9840506,3EHP6,70,1,229,32,11.6,70,A
257087080,2022-02-17T00:03:40,37.24701,-76.11707,0.1,309.1,80.0,ORION,IMO9495935,LAIS8,70,1,189,32,9.2,70,A
212040000,2022-02-17T00:03:36,37.21293,-76.10122,0.0,273.4,118.0,UBC TILBURY,IMO9416721,5BXL2,70,1,182,28,10.8,77,A
356195000,2022-02-17T00:03:01,36.96468,-76.35955,0.0,229.0,84.0,BUNGA LILAC,IMO9542166,3FTM,89,1,147,25,6.6,89,A
636020252,2022-02-17T00:05:13,36.91252,-76.32768,0.0,351.0,351.0,LONG BEACH EXPRESS,IMO9348675,A8OU4,79,5,293,32,12.5,79,A
538008273,2022-02-17T00:02:42,36.96709,-76.42950,0.0,157.5,44.0,CAPE TOWN EAGLE,IMO9700134,V7A2176,74,5,200,32,7.1,74,A
366841000,2022-02-17T00:04:37,36.85348,-76.31085,0.0,0.0,41.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
255806494,2022-02-17T00:04:05,36.87093,-76.34796,0.0,219.6,346.0,MSC ELODIE,IMO9704972,CQEV3,71,5,300,48,11.7,71,A
538009119,2022-02-17T00:03:56,37.17233,-76.12469,0.0,197.0,129.0,ARMONIA.GR,IMO9758868,V7A4344,70,1,199,32,6.7,70,A
367866000,2022-02-17T00:05:31,36.96248,-76.41926,0.0,0.0,189.0,LEROY GRUMMAN,IMO8511500,NNLG,80,5,206,29,,0,A
219033000,2022-02-17T00:04:35,36.87894,-76.35017,0.0,260.8,346.0,MAERSK EDINBURGH,IMO9456757,OXLT2,74,5,366,48,12.0,74,A
352692000,2022-02-17T00:04:37,37.20311,-76.13571,0.0,344.0,128.0,MELODIA,IMO9607813,3EZI2,70,1,225,32,14.4,70,A
636016295,2022-02-17T00:04:52,37.18514,-76.11501,0.0,358.0,136.0,ANTONIA S,IMO9591088,D5FK7,70,1,229,32,14.4,70,A
367359930,2022-02-17T00:04:48,36.82406,-76.28905,0.0,254.6,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
352892000,2022-02-17T00:05:36,37.21772,-76.09130,0.1,338.0,77.0,NAVIOS ALEGRIA,IMO9284893,H9GP,70,1,225,32,14.0,70,A
368707000,2022-02-17T00:03:58,36.93061,-76.33221,0.0,0.0,85.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
538003974,2022-02-17T00:05:29,37.18702,-76.13017,0.0,52.6,129.0,KINGFISHER,IMO9441348,V7UL8,70,1,189,32,12.9,70,A
538007024,2022-02-17T00:04:40,37.20962,-76.08800,0.1,178.7,115.0,RIKKE,IMO9784362,V7BB3,70,1,228,,,70,A
368026000,2022-02-17T00:04:27,36.86579,-76.31605,0.0,166.8,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
366839000,2022-02-17T00:04:17,36.85326,-76.31052,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
538007650,2022-02-17T00:04:46,37.18541,-76.14375,0.0,2.2,129.0,AFRICAN QUEEN,IMO9389930,V7YZ4,70,1,190,32,6.4,70,A
636015975,2022-02-17T00:06:41,37.06952,-76.09555,17.1,329.4,330.0,AGIOS DIMITRIOS,IMO9349605,D5DU8,71,0,299,40,11.1,71,A
305865000,2022-02-17T00:04:25,36.95112,-76.36405,0.0,293.0,103.0,BBC VESUVIUS,IMO9508471,V2GB4,70,1,125,22,7.6,70,A
367822000,2022-02-17T00:06:33,36.97309,-76.43387,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
636092950,2022-02-17T00:05:30,37.21959,-76.13052,0.0,320.4,117.0,RANGER,IMO9493999,D5WU6,70,1,229,32,7.0,70,A
538008995,2022-02-17T00:06:12,36.87934,-76.33132,0.0,91.8,94.0,AM JYOTI,IMO9880233,V7A4174,70,5,229,32,8.3,70,A
367862000,2022-02-17T00:05:36,36.94590,-76.33295,0.0,97.8,87.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,35,A
314509000,2022-02-17T00:05:08,37.20866,-76.12355,0.0,354.5,123.0,OTHRYS,IMO9905277,8PAV5,70,1,200,32,6.8,70,A
355328000,2022-02-17T00:05:17,37.25465,-76.10421,0.1,299.7,55.0,CHASSELAS,IMO9840506,3EHP6,70,1,229,32,11.6,70,A
367359930,2022-02-17T00:06:09,36.82406,-76.28905,0.0,256.3,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
219258000,2022-02-17T00:06:12,36.91028,-76.32742,0.0,353.1,353.0,ROME EXPRESS,IMO9447861,OYYT2,71,5,366,48,12.2,71,A
636015975,2022-02-17T00:05:36,37.06508,-76.09213,17.1,326.1,329.0,AGIOS DIMITRIOS,IMO9349605,D5DU8,71,0,299,40,11.1,71,A
373075000,2022-02-17T00:05:14,36.96280,-76.42417,0.1,124.0,38.0,FRONTIER UNITY,IMO9604976,3FJX7,70,5,291,45,18.2,79,A
368026000,2022-02-17T00:07:26,36.86576,-76.31606,0.0,166.8,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
212040000,2022-02-17T00:06:36,37.21293,-76.10121,0.0,45.5,118.0,UBC TILBURY,IMO9416721,5BXL2,70,1,182,28,10.8,77,A
477832600,2022-02-17T00:05:36,37.22967,-76.09860,0.1,352.7,78.0,TIGER SOUTH,IMO9619854,VRKE3,70,1,225,32,14.2,70,A
371392000,2022-02-17T00:07:14,37.21964,-76.11452,0.1,64.3,116.0,BELMOIRA,IMO9873278,3FVC3,70,1,200,32,10.0,70,A
636018518,2022-02-17T00:05:19,36.87988,-76.33117,0.0,251.1,95.0,MEDI GINEVRA,IMO9815939,D5QB3,70,5,229,36,7.4,70,A
255806494,2022-02-17T00:07:05,36.87102,-76.34797,0.0,219.6,346.0,MSC ELODIE,IMO9704972,CQEV3,71,5,300,48,11.7,71,A
564220000,2022-02-17T00:06:34,37.19868,-76.12632,0.0,207.0,121.0,THOR MERCURY,IMO9300221,9V2557,70,1,189,32,12.5,70,A
636015975,2022-02-17T00:07:48,37.07404,-76.09886,17.1,329.5,331.0,AGIOS DIMITRIOS,IMO9349605,D5DU8,71,0,299,40,11.1,71,A
538009119,2022-02-17T00:06:55,37.17231,-76.12467,0.0,197.0,129.0,ARMONIA.GR,IMO9758868,V7A4344,70,1,199,32,6.7,70,A
366839000,2022-02-17T00:07:19,36.85329,-76.31052,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
367359930,2022-02-17T00:07:19,36.82407,-76.28905,0.0,255.5,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
366841000,2022-02-17T00:07:38,36.85348,-76.31082,0.0,0.0,41.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
636018518,2022-02-17T00:08:19,36.87989,-76.33114,0.0,251.1,95.0,MEDI GINEVRA,IMO9815939,D5QB3,70,5,229,36,7.4,70,A
257087080,2022-02-17T00:06:39,37.24711,-76.11709,0.0,318.1,83.0,ORION,IMO9495935,LAIS8,70,1,189,32,9.2,70,A
373075000,2022-02-17T00:08:14,36.96278,-76.42416,0.1,122.1,38.0,FRONTIER UNITY,IMO9604976,3FJX7,70,5,291,45,18.2,79,A
352892000,2022-02-17T00:08:39,37.21785,-76.09135,0.1,342.0,79.0,NAVIOS ALEGRIA,IMO9284893,H9GP,70,1,225,32,14.0,70,A
636092950,2022-02-17T00:08:33,37.21965,-76.13049,0.0,320.4,119.0,RANGER,IMO9493999,D5WU6,70,1,229,32,7.0,70,A
367866000,2022-02-17T00:08:32,36.96245,-76.41925,0.0,0.0,189.0,LEROY GRUMMAN,IMO8511500,NNLG,80,5,206,29,,0,A
354706000,2022-02-17T00:06:20,37.16326,-76.13754,0.1,88.3,121.0,CORESHIP OL,IMO9473755,HORG,70,1,178,29,7.0,70,A
367062040,2022-02-17T00:08:52,36.83680,-76.27931,0.0,217.0,511.0,SKIPPIN SUE,,WDC6842,74,5,36,9,3.0,74,A
367862000,2022-02-17T00:08:35,36.94576,-76.33294,0.0,97.8,87.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,35,A
368707000,2022-02-17T00:06:57,36.93060,-76.33224,0.0,0.0,85.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
563862000,2022-02-17T00:08:48,37.26734,-76.10904,0.1,289.3,72.0,MANDARIN GRACE,IMO9569267,9V8352,70,1,189,32,12.8,70,A
338678000,2022-02-17T00:06:51,36.91621,-76.16841,0.0,246.2,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
538007650,2022-02-17T00:07:46,37.18542,-76.14374,0.1,2.2,130.0,AFRICAN QUEEN,IMO9389930,V7YZ4,70,1,190,32,6.4,70,A
538008995,2022-02-17T00:09:12,36.87932,-76.33130,0.0,91.8,94.0,AM JYOTI,IMO9880233,V7A4174,70,5,229,32,8.3,70,A
368808000,2022-02-17T00:09:00,36.93235,-76.33182,0.0,359.9,85.0,WRIGHT,IMO6924571,WGLW,70,5,183,27,10.4,90,A
636020252,2022-02-17T00:08:14,36.91252,-76.32768,0.0,351.0,351.0,LONG BEACH EXPRESS,IMO9348675,A8OU4,79,5,293,32,12.5,79,A
305865000,2022-02-17T00:10:24,36.95101,-76.36401,0.0,293.0,100.0,BBC VESUVIUS,IMO9508471,V2GB4,70,1,125,22,7.6,70,A
305865000,2022-02-17T00:07:26,36.95103,-76.36401,0.0,293.0,102.0,BBC VESUVIUS,IMO9508471,V2GB4,70,1,125,22,7.6,70,A
368707000,2022-02-17T00:09:57,36.93062,-76.33217,0.0,0.0,85.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
232025072,2022-02-17T00:09:54,37.19566,-76.11097,0.0,348.9,123.0,ANGLO CYNOSURE,IMO9599133,MGIL3,70,1,240,38,7.5,70,A
636015975,2022-02-17T00:08:53,37.07860,-76.10215,17.2,329.6,330.0,AGIOS DIMITRIOS,IMO9349605,D5DU8,71,0,299,40,11.1,71,A
355673000,2022-02-17T00:08:47,37.23869,-76.10404,0.1,306.6,72.0,NORD EVEREST,IMO9658965,H8WG,70,1,200,32,9.8,70,A
538007024,2022-02-17T00:07:39,37.20970,-76.08798,0.1,178.7,118.0,RIKKE,IMO9784362,V7BB3,70,1,228,,,70,A
219033000,2022-02-17T00:07:38,36.87894,-76.35017,0.0,336.8,346.0,MAERSK EDINBURGH,IMO9456757,OXLT2,74,5,366,48,12.0,74,A
