MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
271043028,2021-11-15T13:13:34,36.92750,-76.33126,0.6,138.4,220.0,KAAN KALKAVAN,IMO9365879,TCTX2,70,0,182,28,11.0,79,A
367359930,2021-11-15T13:19:03,36.82419,-76.28914,0.0,311.3,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
366841000,2021-11-15T13:19:34,36.85345,-76.31080,0.0,0.0,40.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
368707000,2021-11-15T13:19:26,36.93065,-76.33222,0.0,266.6,86.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
366842000,2021-11-15T13:20:07,36.85402,-76.31143,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,79,A
538008228,2021-11-15T13:20:11,36.87964,-76.32644,0.0,100.7,273.0,PACIFIC SOUTH,IMO9474967,V7A2109,70,5,292,46,8.8,70,A
366539000,2021-11-15T13:19:03,36.96315,-76.42023,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
367359930,2021-11-15T13:20:12,36.82420,-76.28914,0.0,309.4,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
366839000,2021-11-15T13:19:42,36.85330,-76.31054,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
367862000,2021-11-15T13:19:52,36.88517,-76.33890,0.0,299.7,191.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,35,A
563012500,2021-11-15T13:20:51,36.96893,-76.43158,0.0,14.2,49.0,LOWLANDS HOPE,IMO9727182,9V5326,70,5,199,,,70,A
636018742,2021-11-15T13:20:04,37.22528,-76.08973,0.0,170.0,312.0,AQUATIC,IMO9363089,D5RE4,70,1,229,32,9.3,70,A
219028014,2021-11-15T13:21:32,37.20060,-76.12408,0.3,182.6,308.0,NORD BALTIC,IMO9826433,OZSL2,70,1,200,32,6.4,70,A
538004298,2021-11-15T13:21:33,37.20885,-76.11949,0.1,218.6,313.0,BEKS YILMAZ,IMO9628116,V7WG9,70,1,229,32,14.4,70,A
240979000,2021-11-15T13:21:01,37.24258,-76.10148,0.0,252.0,303.0,ANANGEL HARMONY,IMO9434412,SVAX3,70,1,292,45,18.0,70,A
366539000,2021-11-15T13:21:22,36.96314,-76.42024,0.0,0.0,187.0,OVERSEAS ANACORTES,IMO9353591,KCHV,80,0,183,32,12.2,80,A
338678000,2021-11-15T13:21:19,36.91661,-76.17436,0.0,255.7,99.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
563016600,2021-11-15T13:22:07,37.26546,-76.10610,0.2,196.4,302.0,ASIAN SUMMIT,IMO9725005,9V3659,70,1,200,32,9.6,70,A
563076200,2021-11-15T13:19:00,37.08214,-76.10443,18.4,150.5,151.0,MAERSK GATESHEAD,IMO9235543,9V6210,71,0,292,32,12.0,71,A
538006378,2021-11-15T13:21:02,37.21094,-76.08679,0.1,81.4,307.0,ARGONAUT,IMO9717694,V7MK8,70,1,229,,,70,A
563131100,2021-11-15T13:21:45,36.96287,-76.42405,0.0,16.8,40.0,KN BLOSSOM,IMO9906300,9V6841,70,5,229,32,7.3,70,A
256362000,2021-11-15T13:22:21,37.17621,-76.12713,0.1,225.2,312.0,BELMEKEN,IMO9576014,9HA3894,70,1,176,26,9.9,70,A
563076200,2021-11-15T13:22:19,37.06729,-76.09403,18.4,150.4,149.0,MAERSK GATESHEAD,IMO9235543,9V6210,71,0,292,32,12.0,71,A
367359930,2021-11-15T13:22:32,36.82420,-76.28915,0.0,316.9,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
368707000,2021-11-15T13:22:25,36.93066,-76.33222,0.0,266.6,86.0,WATSON,IMO9112727,NHLS,70,5,289,32,10.4,35,A
370696000,2021-11-15T13:21:54,37.17653,-76.11061,0.1,289.3,322.0,TERN BULKER,IMO9676101,3FNS3,70,1,190,32,6.8,70,A
563076200,2021-11-15T13:20:07,37.07714,-76.10092,18.5,150.1,151.0,MAERSK GATESHEAD,IMO9235543,9V6210,71,0,292,32,12.0,71,A
367862000,2021-11-15T13:22:52,36.88516,-76.33892,0.0,299.7,191.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,35,A
636018742,2021-11-15T13:23:03,37.22530,-76.08978,0.0,170.0,313.0,AQUATIC,IMO9363089,D5RE4,70,1,229,32,9.3,70,A
