MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
215181000,2021-08-21T00:00:08,36.99402,-76.18886,13.0,107.9,108.0,CMA CGM J. ADAMS,IMO9780885,9HA4999,71,0,366,48,11.6,71,A
366839000,2021-08-21T00:00:30,36.85351,-76.31081,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
538008605,2021-08-21T00:00:09,37.23472,-76.11141,0.1,59.5,165.0,MINERAL YANGFAN,IMO9738571,V7A2563,70,1,300,50,8.9,70,A
219154000,2021-08-21T00:00:01,37.00682,-76.25876,11.3,87.6,89.0,NORDIC MAYA,IMO9339351,OYCW2,82,0,145,25,8.5,82,A
356340000,2021-08-21T00:00:15,37.21358,-76.12772,0.0,36.2,170.0,CAPRICORN MOON,IMO9708980,3EBV,70,1,228,32,14.4,70,A
367775000,2021-08-21T00:00:06,36.87813,-76.34105,5.7,71.7,70.0,MAERSK OHIO,IMO9298698,KABP,70,0,292,32,13.5,79,A
636017393,2021-08-21T00:00:07,36.85802,-76.31797,0.0,221.9,271.0,INDUSTRIAL SWIFT,IMO9741152,D5KR7,70,5,,,,70,A
538009215,2021-08-21T00:00:51,37.23214,-76.09512,0.0,113.3,166.0,ASTERAS,IMO9610999,V7A4462,70,1,190,32,10.5,70,A
367832000,2021-08-21T00:00:00,37.23851,-76.13464,11.8,198.1,195.0,GILLILAND,IMO7227205,NAMJ,70,0,290,32,11.9,,A
636019094,2021-08-21T00:00:02,36.87927,-76.33140,0.0,124.0,92.0,BERGE RINJANI,IMO9579884,D5SX4,70,5,292,45,8.6,70,A
219154000,2021-08-21T00:01:10,37.00704,-76.25420,11.4,85.9,89.0,NORDIC MAYA,IMO9339351,OYCW2,82,0,145,25,8.5,82,A
367822000,2021-08-21T00:00:17,36.97311,-76.43385,0.0,0.0,1.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
370068000,2021-08-21T00:00:03,36.96278,-76.42409,0.0,40.8,37.0,CHALLENGE PEARL,IMO9367695,3ERJ6,80,5,182,32,12.6,,A
368445000,2021-08-21T00:00:45,36.96285,-76.41831,0.0,24.4,187.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
366842000,2021-08-21T00:00:19,36.85401,-76.31144,0.0,108.4,40.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,79,A
431003000,2021-08-21T00:00:33,36.90885,-76.32734,0.0,86.0,173.0,ONE APUS,IMO9806079,7KEG,71,5,364,51,12.1,71,A
636019410,2021-08-21T00:01:08,37.22225,-76.08953,0.1,73.0,169.0,GREEN K-MAX 1,IMO9838058,D5UJ9,70,1,229,32,7.5,70,A
636019789,2021-08-21T00:00:52,36.87949,-76.32631,0.0,168.8,275.0,CL DENGSHA HE,IMO9890642,D5WE2,70,5,199,32,7.4,70,A
367832000,2021-08-21T00:01:21,37.23432,-76.13636,11.8,197.9,195.0,GILLILAND,IMO7227205,NAMJ,70,0,290,32,11.9,,A
477767800,2021-08-21T00:00:40,36.87993,-76.33115,0.0,145.5,97.0,GOLDEN MAGNUM,IMO9494230,VRML3,70,5,292,45,18.2,,A
219154000,2021-08-21T00:02:20,37.00724,-76.24953,11.5,86.7,90.0,NORDIC MAYA,IMO9339351,OYCW2,82,0,145,25,8.5,82,A
431296000,2021-08-21T00:00:31,36.90527,-76.32641,0.0,306.1,352.0,MOL COURAGE,IMO9321263,7JWH,70,5,315,45,14.5,71,A
305737000,2021-08-21T00:01:19,36.86254,-76.31470,0.0,224.6,46.0,SUN DISCOVERER,IMO9620669,V2FO2,70,5,138,21,8.0,,A
259767000,2021-08-21T00:02:59,37.27150,-76.10466,0.1,51.0,153.0,BANGOR,IMO9228057,LASY7,70,1,225,32,13.9,79,A
366841000,2021-08-21T00:01:10,36.85326,-76.31052,0.0,0.0,40.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
338678000,2021-08-21T00:00:46,36.91622,-76.16842,0.0,258.7,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
374308000,2021-08-21T00:01:14,37.17754,-76.12837,0.0,1.0,167.0,BLUE SAPPHIRE,IMO9877339,3EFG7,70,1,180,30,9.2,70,A
367819000,2021-08-21T00:01:54,36.93062,-76.33221,0.0,0.0,85.0,SODERMAN,IMO9232254,NANL,70,5,289,32,11.2,79,A
304679000,2021-08-21T00:02:36,36.97033,-76.43267,0.0,161.0,48.0,BBC CAMPANA,IMO9291963,V2BN7,70,5,138,21,8.0,70,A
367775000,2021-08-21T00:02:26,36.87964,-76.33652,6.2,56.5,38.0,MAERSK OHIO,IMO9298698,KABP,70,0,292,32,13.5,79,A
354805000,2021-08-21T00:01:40,37.19392,-76.12342,0.0,87.8,167.0,MIGHTY MICHALIS,IMO9086710,3FWG4,70,1,223,32,13.4,,A
367775000,2021-08-21T00:01:15,36.87873,-76.33875,6.1,71.6,60.0,MAERSK OHIO,IMO9298698,KABP,70,0,292,32,13.5,79,A
370356000,2021-08-21T00:02:11,36.94895,-76.36231,0.0,216.2,42.0,CIELO DI PISA,IMO9363297,3ESM4,70,1,177,28,10.0,70,A
356340000,2021-08-21T00:03:20,37.21357,-76.12769,0.1,36.2,171.0,CAPRICORN MOON,IMO9708980,3EBV,70,1,228,32,14.4,70,A
431003000,2021-08-21T00:03:33,36.90883,-76.32732,0.0,86.0,173.0,ONE APUS,IMO9806079,7KEG,71,5,364,51,12.1,71,A
215181000,2021-08-21T00:02:28,36.99146,-76.17881,13.0,107.5,108.0,CMA CGM J. ADAMS,IMO9780885,9HA4999,71,0,366,48,11.6,71,A
636017393,2021-08-21T00:03:03,36.85801,-76.31799,0.0,221.9,271.0,INDUSTRIAL SWIFT,IMO9741152,D5KR7,70,5,,,,70,A
215181000,2021-08-21T00:01:17,36.99275,-76.18390,13.0,108.0,108.0,CMA CGM J. ADAMS,IMO9780885,9HA4999,71,0,366,48,11.6,71,A
636019094,2021-08-21T00:03:05,36.87930,-76.33137,0.0,124.0,92.0,BERGE RINJANI,IMO9579884,D5SX4,70,5,292,45,8.6,70,A
431296000,2021-08-21T00:03:34,36.90522,-76.32645,0.0,306.1,352.0,MOL COURAGE,IMO9321263,7JWH,70,5,315,45,14.5,71,A
636018517,2021-08-21T00:02:46,37.25031,-76.10482,0.0,55.1,178.0,MEDI SERAPO,IMO9811531,D5QB2,70,1,229,36,8.9,70,A
367222000,2021-08-21T00:02:32,36.94835,-76.33075,0.0,71.0,101.0,WALTER S DIEHL,IMO8511495,NWSD,80,5,206,29,,0,A
477519300,2021-08-21T00:02:46,37.28602,-76.10298,0.0,74.3,178.0,XIN HONG,IMO9642796,VRMG9,70,1,225,32,14.6,,A
477767800,2021-08-21T00:03:40,36.87992,-76.33114,0.0,145.5,97.0,GOLDEN MAGNUM,IMO9494230,VRML3,70,5,292,45,18.2,70,A
366842000,2021-08-21T00:03:18,36.85402,-76.31146,0.0,108.4,40.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,79,A
219154000,2021-08-21T00:03:22,37.00743,-76.24549,11.6,87.3,95.0,NORDIC MAYA,IMO9339351,OYCW2,82,0,145,25,8.5,82,A
367832000,2021-08-21T00:02:30,37.23074,-76.13783,11.7,198.1,195.0,GILLILAND,IMO7227205,NAMJ,70,0,290,32,11.9,,A
366839000,2021-08-21T00:03:25,36.85347,-76.31084,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,70,A
366841000,2021-08-21T00:04:09,36.85327,-76.31053,0.0,0.0,40.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,70,A
215181000,2021-08-21T00:03:38,36.99018,-76.17379,13.0,107.1,108.0,CMA CGM J. ADAMS,IMO9780885,9HA4999,71,0,366,48,12.6,71,A
374308000,2021-08-21T00:04:16,37.17754,-76.12837,0.0,1.0,167.0,BLUE SAPPHIRE,IMO9877339,3EFG7,70,1,180,30,6.7,70,A
367775000,2021-08-21T00:03:29,36.88095,-76.33502,6.0,33.4,15.0,MAERSK OHIO,IMO9298698,KABP,70,0,292,32,13.5,79,A
368445000,2021-08-21T00:03:45,36.96289,-76.41830,0.0,24.4,187.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
367775000,2021-08-21T00:04:35,36.88260,-76.33433,5.6,7.4,356.0,MAERSK OHIO,IMO9298698,KABP,70,0,292,32,13.5,79,A
538009215,2021-08-21T00:03:51,37.23213,-76.09508,0.1,108.9,166.0,ASTERAS,IMO9610999,V7A4462,70,1,190,32,10.0,70,A
538008605,2021-08-21T00:03:11,37.23474,-76.11136,0.1,59.5,166.0,MINERAL YANGFAN,IMO9738571,V7A2563,70,1,300,50,8.9,70,A
367822000,2021-08-21T00:03:17,36.97311,-76.43384,0.0,0.0,1.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
368026000,2021-08-21T00:02:44,36.86577,-76.31604,0.0,323.6,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
370068000,2021-08-21T00:03:03,36.96278,-76.42409,0.0,40.8,37.0,CHALLENGE PEARL,IMO9367695,3ERJ6,80,5,182,32,12.6,,A
219154000,2021-08-21T00:04:31,37.00694,-76.24099,11.3,103.5,108.0,NORDIC MAYA,IMO9339351,OYCW2,82,0,145,25,8.5,82,A
366230000,2021-08-21T00:03:59,36.95005,-76.33039,0.0,178.2,278.0,SLNC MAGOTHY,IMO9418975,WDI3067,70,5,166,23,7.7,70,A
215181000,2021-08-21T00:04:47,36.98894,-76.16885,12.9,107.5,108.0,CMA CGM J. ADAMS,IMO9780885,9HA4999,71,0,366,48,12.6,71,A
636019789,2021-08-21T00:03:55,36.87948,-76.32634,0.0,168.8,275.0,CL DENGSHA HE,IMO9890642,D5WE2,70,5,199,32,7.4,70,A
305737000,2021-08-21T00:04:19,36.86257,-76.31467,0.0,224.6,46.0,SUN DISCOVERER,IMO9620669,V2FO2,70,5,138,21,8.0,70,A
219154000,2021-08-21T00:05:41,37.00594,-76.23660,11.3,106.1,108.0,NORDIC MAYA,IMO9339351,OYCW2,82,0,145,25,8.5,82,A
477519300,2021-08-21T00:05:41,37.28604,-76.10297,0.0,74.3,178.0,XIN HONG,IMO9642796,VRMG9,70,1,225,32,14.6,70,A
367832000,2021-08-21T00:03:40,37.22710,-76.13932,11.7,197.8,195.0,GILLILAND,IMO7227205,NAMJ,70,0,290,32,11.9,35,A
367832000,2021-08-21T00:04:41,37.22399,-76.14058,11.7,198.5,196.0,GILLILAND,IMO7227205,NAMJ,70,0,290,32,11.9,35,A
431296000,2021-08-21T00:06:34,36.90520,-76.32644,0.0,306.1,352.0,MOL COURAGE,IMO9321263,7JWH,70,5,315,45,14.5,71,A
636019094,2021-08-21T00:06:05,36.87930,-76.33137,0.0,306.0,92.0,BERGE RINJANI,IMO9579884,D5SX4,70,5,292,45,8.6,70,A
338678000,2021-08-21T00:03:46,36.91621,-76.16847,0.0,258.7,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70,5,54,12,4.0,35,A
370356000,2021-08-21T00:05:11,36.94897,-76.36228,0.0,216.2,41.0,CIELO DI PISA,IMO9363297,3ESM4,70,1,177,28,10.0,70,A
636017393,2021-08-21T00:06:08,36.85801,-76.31792,0.0,221.9,271.0,INDUSTRIAL SWIFT,IMO9741152,D5KR7,70,5,,,,70,A
636018517,2021-08-21T00:05:46,37.25031,-76.10487,0.1,55.1,177.0,MEDI SERAPO,IMO9811531,D5QB2,70,1,229,36,8.9,70,A
367819000,2021-08-21T00:04:53,36.93062,-76.33221,0.0,0.0,85.0,SODERMAN,IMO9232254,NANL,70,5,289,32,11.2,79,A
367775000,2021-08-21T00:05:36,36.88421,-76.33447,5.8,353.6,354.0,MAERSK OHIO,IMO9298698,KABP,70,0,292,32,13.5,79,A
370068000,2021-08-21T00:06:07,36.96279,-76.42409,0.0,40.8,37.0,CHALLENGE PEARL,IMO9367695,3ERJ6,80,5,182,32,12.6,70,A
367865000,2021-08-21T00:05:10,36.94927,-76.33049,0.0,0.0,280.0,KANAWHA,IMO8704080,NPTD,80,5,206,29,,35,A
354805000,2021-08-21T00:04:40,37.19391,-76.12331,0.0,83.7,170.0,MIGHTY MICHALIS,IMO9086710,3FWG4,70,1,223,32,13.4,70,A
